node1	node2	edge_score	
DB07347	GAPDH	1.0	
DB07347	ATP6V1B2	1.0	
GAPDH		1
ATP6V1B2		1
IgA nephropathy, susceptibility to, 3	ATP6V1B2	1.0	
IgA nephropathy, susceptibility to, 3	GAPDH	1.0	
Osteoarthritis	ATP6V1B2	1.0	
Osteoarthritis	GAPDH	1.0	
High altitude pulmonary edema	GAPDH	1.0	
Deep philtrum	ATP6V1B2	1.0	
Bacterial endocarditis	GAPDH	1.0	
Severe myoclonic epilepsy in infancy	GAPDH	1.0	
Triploidy syndrome	GAPDH	1.0	
Chronic viral hepatitis	GAPDH	1.0	
Pregnancy in Diabetics	GAPDH	1.0	
Acth-Independent Macronodular Adrenal Hyperplasia	GAPDH	1.0	
HELLP Syndrome	GAPDH	1.0	
Pituitary corticotropic cell adenoma	GAPDH	1.0	
Anonychia	ATP6V1B2	1.0	
Congenital absence of germinal epithelium of testes	GAPDH	1.0	
Rous Sarcoma	GAPDH	1.0	
Ganglioneuroblastoma	GAPDH	1.0	
Triphalangeal thumb	ATP6V1B2	1.0	
Idiopathic Membranous Glomerulonephritis	GAPDH	1.0	
Hepatitis, Alcoholic	GAPDH	1.0	
Hepatitis D Infection	GAPDH	1.0	
Ganglioneuroma	GAPDH	1.0	
Necrosis	GAPDH	1.0	
Hormone receptor positive tumor	GAPDH	1.0	
Meningococcal Infections	GAPDH	1.0	
Synophrys	ATP6V1B2	1.0	
Underdeveloped nasal alae	ATP6V1B2	1.0	
Thick eyebrow	ATP6V1B2	1.0	
Generalized hypotonia	ATP6V1B2	1.0	
Hepatosplenic schistosomiasis	GAPDH	1.0	
Microalbuminuria	GAPDH	1.0	
Facial hypertrichosis	ATP6V1B2	1.0	
Abnormality of the frontal hairline	ATP6V1B2	1.0	
Arrhythmogenic right ventricular cardiomyopathy, type 11	GAPDH	1.0	
Viral hepatitis	GAPDH	1.0	
Ischemic cardiomyopathy	GAPDH	1.0	
Complications of Diabetes Mellitus	GAPDH	1.0	
Gingival overgrowth	ATP6V1B2	1.0	
Alzheimer Disease, Late Onset	GAPDH	1.0	
Mycoplasma Infections	GAPDH	1.0	
Small nail	ATP6V1B2	1.0	
Undifferentiated carcinoma	GAPDH	1.0	
Adrenocortical adenoma	GAPDH	1.0	
Nail dystrophy	ATP6V1B2	1.0	
Thyroid associated opthalmopathies	GAPDH	1.0	
Macroglossia	ATP6V1B2	1.0	
Parathyroid adenoma	GAPDH	1.0	
Follicular adenoma	GAPDH	1.0	
Prolactinoma, familial	GAPDH	1.0	
Oxyphilic Adenoma	GAPDH	1.0	
Hemochromatosis	GAPDH	1.0	
