Gene	CUI	Phenotype	Source Databases	
AKR1D1	C0441748	Autosomal recessive inheritance	HumPhenOnt	
SRD5A2	C0441748	Autosomal recessive inheritance	HumPhenOnt	
TYR	C0441748	Autosomal recessive inheritance	HumPhenOnt	
AKR1D1	C4025761	Abnormality of the integument	HumPhenOnt	
SRD5A2	C4025761	Abnormality of the integument	HumPhenOnt	
TYR	C4025761	Abnormality of the integument	HumPhenOnt	
AKR1D1	C1291316	2,4-Dienoyl-CoA reductase deficiency	DisGeNet	
SRD5A2	C1291316	2,4-Dienoyl-CoA reductase deficiency	DisGeNet	
SRD5A2	C0153594	Malignant tumor of testis	DisGeNet	
TYR	C0153594	Malignant tumor of testis	DisGeNet	
SRD5A2	C0036875	Disorders of Sex Development	DisGeNet	
TYR	C0578626	Blue irides	HumPhenOnt	
TYR	C4025849	Abnormality of the fovea	HumPhenOnt	
TYR	C0022603	Seborrheic keratosis	DisGeNet	
TYR	C1876214	ALBINOIDISM, OCULOCUTANEOUS, AUTOSOMAL DOMINANT	DisGeNet	
TYR	C0016629	Fowlpox	DisGeNet	
TYR	C0019880	Homocystinuria due to CBS deficiency	DisGeNet	
AKR1D1	C0038238	Steatorrhea	HumPhenOnt	
AKR1D1	C0554103	Fat malabsorption	HumPhenOnt	
AKR1D1	C0860204	Cholestatic liver disease	HumPhenOnt	
TYR	C4024742	Aplasia/Hypoplasia of the macula	HumPhenOnt	
TYR	C4024740	Aplasia/Hypoplasia of the retina	HumPhenOnt	
TYR	C4023400	Generalized hypopigmentation of hair	HumPhenOnt	
TYR	C0677944	Sentinel node (disorder)	DisGeNet	
TYR	C1849923	Generalized hypopigmentation	HumPhenOnt	
TYR	C0020302	Buphthalmos	DisGeNet	
TYR	C0037354	Smallpox	DisGeNet	
SRD5A2	C0033575	Prostatic Diseases	DisGeNet	
TYR	C0037290	Skin/hair/eye pigmentation, variation in, 9	ClinVar,DisGeNet	
TYR	C1298180	Single tumor	DisGeNet	
TYR	C0079504	Hermansky-Pudlak syndrome	DisGeNet	
TYR	C3665593	Melanocytic nevus of skin	DisGeNet	
SRD5A2	C0042755	Virilism	DisGeNet	
SRD5A2	C0238395	Male pseudohermaphroditism	DisGeNet	
SRD5A2	C0431659	Scrotal hypoplasia	HumPhenOnt	
SRD5A2	C2931456	Prostate cancer, familial	DisGeNet	
TYR	C0522214	Abnormality of visual evoked potentials	HumPhenOnt	
TYR	C0016689	Freckling	DisGeNet,HumPhenOnt	
AKR1D1	C0151849	Elevated alkaline phosphatase	HumPhenOnt	
SRD5A2	C1691215	Penile hypospadias	DisGeNet	
AKR1D1	C4025328	Abnormality of alkaline phosphatase activity	HumPhenOnt	
TYR	C1842774	Hypermelanotic macule	HumPhenOnt	
AKR1D1	C0008372	Intrahepatic cholestasis	HumPhenOnt	
SRD5A2	C0150312	Menopause present (finding)	DisGeNet	
TYR	C0242994	Hantavirus infection in conditions classified elsewhere and of unspecified site	DisGeNet	
TYR	C0162674	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4	DisGeNet	
