node_name	node_type	
DB00983	drug	
ADRB2	drug_target	
CYP2C9	drug_target	
CYP2C19	drug_target	
CYP2A6	drug_target	
CYP2D6	drug_target	
Abnormality of the pituitary gland	phenotype	
Acth-Independent Macronodular Adrenal Hyperplasia	phenotype	
Secondary hyperparathyroidism	phenotype	
Neoplasm of the adrenal gland	phenotype	
Pheochromocytoma	phenotype	
Cushing's syndrome	phenotype	
Neuroendocrine neoplasm	phenotype	
Pituitary adenoma	phenotype	
Acute-Phase Reaction	phenotype	
Migraine Disorders	phenotype	
Kidney Failure, Chronic	phenotype	
Pseudohypoparathyroidism, Type Ia	phenotype	
Essential hypertension	phenotype	
Adrenocortical carcinoma	phenotype	
Mood Disorders	phenotype	
Hyperparathyroidism 4	phenotype	
Medullary thyroid carcinoma	phenotype	
Bipolar affective disorder	phenotype	
Adenomas, multiple colorectal, 608456 (3)	phenotype	
Hypercholesterolemia, autosomal dominant, type B	phenotype	
Pseudohypoparathyroidism, type IB, 603233 (3)	phenotype	
Cholera	phenotype	
Anxiety Disorders	phenotype	
Pituitary corticotropic cell adenoma	phenotype	
Alzheimer Disease	phenotype	
{Unipolar depression, susceptibility to}, 608516 (3)	phenotype	
Pituitary dependent hypercortisolism	phenotype	
Hyperplasia	phenotype	
Pseudohypoparathyroidism type 1A	phenotype	
Heart Failure	phenotype	
Disorder of endocrine system	phenotype	
Tachycardia	phenotype	
Renal Insufficiency, Chronic	phenotype	
Major depressive disorder	phenotype	
Pain	phenotype	
Female infertility	phenotype	
Delayed puberty	phenotype	
Hyperlipidemia, combined, 1	phenotype	
Congenital adrenal hyperplasia	phenotype	
Bradycardia	phenotype	
Obesity, severe, 601665 (3)	phenotype	
Benign melanocytic nevus	phenotype	
Polycystic Ovary Syndrome	phenotype	
Anorexia nervosa 1	phenotype	
Increased analgesia from kappa-opioid receptor agonist, female-specific	phenotype	
Attention deficit hyperactivity disorder	phenotype	
Mental disorders	phenotype	
Alcohol dependence	phenotype	
Depressive Disorder	phenotype	
Carcinoid tumor no ICD-O subtype	phenotype	
Hyperalgesia	phenotype	
Stress, Psychological	phenotype	
Adrenal hyperplasia	phenotype	
Thyroid hormone receptor defect	phenotype	
Gastric ulcer	phenotype	
Adrenocortical adenoma	phenotype	
Asthma	phenotype	
Inflammation	phenotype	
Recurrent major depressive episodes	phenotype	
Hypertension	phenotype	
Liver Cirrhosis, Biliary	phenotype	
body mass	phenotype	
Chronic Fatigue Syndrome	phenotype	
Adrenal Gland Hyperfunction	phenotype	
Alcohol abuse	phenotype	
Sleep Wake Disorders	phenotype	
Melanocytic nevus of skin	phenotype	
Insulinoma	phenotype	
Irritable bowel syndrome with diarrhea	phenotype	
Ovarian Failure, Premature	phenotype	
Hyponatremia	phenotype	
Unipolar Depression	phenotype	
Anorexia	phenotype	
Abdominal obesity	phenotype	
Hypercalciuria	phenotype	
Gastrinoma	phenotype	
Methamphetamine abuse	phenotype	
Primary hyperparathyroidism	phenotype	
Malignant tumor of prostate	phenotype	
Nausea	phenotype	
Preeclampsia/eclampsia 1	phenotype	
Substance addiction and disorders	phenotype	
Substance Withdrawal Syndrome	phenotype	
Diabetes insipidus	phenotype	
Neoplasm of the colon	phenotype	
Hyperthyroidism	phenotype	
Premature Birth	phenotype	
Antisocial Personality Disorder	phenotype	
Rhabdomyosarcoma alveolar	phenotype	
Abnormality of the parathyroid physiology	phenotype	
Nicotine Dependence	phenotype	
Osteomalacia	phenotype	
Sparse pubic hair	phenotype	
Abnormality of the pubic hair	phenotype	
Chronic heart failure	phenotype	
Hypercalcemia, infantile, 2	phenotype	
Familial hypercholesterolemia	phenotype	
Verotoxigenic Escherichia coli gastrointestinal tract infection	phenotype	
Congestive heart failure	phenotype	
Carcinoid tumor	phenotype	
Acute postoperative pain	phenotype	
Acute myocardial ischemia	phenotype	
