Gene	CUI	Phenotype	Source Databases	
GRIA1	C0443306	Spastic	DisGeNet	
GRIA2	C0443306	Spastic	DisGeNet	
GRIK2	C0443306	Spastic	DisGeNet	
GRIA1	C0036341	Schizophrenia	DisGeNet,PheGenI	
GRIA2	C0036341	Schizophrenia	DisGeNet	
GRIA4	C0036341	Schizophrenia	DisGeNet	
GRIK2	C0036341	Schizophrenia	DisGeNet	
GRIP1	C0036341	Schizophrenia	DisGeNet	
PRKCA	C0036341	Schizophrenia	DisGeNet	
PRKCG	C0036341	Schizophrenia	DisGeNet	
GRIA1	C0002736	Amyotrophic Lateral Sclerosis	DisGeNet	
GRIA2	C0002736	Amyotrophic Lateral Sclerosis	DisGeNet	
GRIA4	C0002736	Amyotrophic Lateral Sclerosis	DisGeNet	
GRIK2	C0002736	Amyotrophic Lateral Sclerosis	DisGeNet	
GRIP1	C0002736	Amyotrophic Lateral Sclerosis	DisGeNet	
GRIA1	C2911647	Weight Gain Adverse Event	DisGeNet	
GRIA2	C2911647	Weight Gain Adverse Event	DisGeNet	
GRIA4	C2911647	Weight Gain Adverse Event	DisGeNet	
GRIA1	C0014556	Epilepsy, Temporal Lobe	DisGeNet	
GRIA2	C0014556	Epilepsy, Temporal Lobe	DisGeNet	
GRIK2	C0014556	Epilepsy, Temporal Lobe	DisGeNet	
GRIA1	C0424295	Hyperactivity	DisGeNet	
GRIA2	C0424295	Hyperactivity	DisGeNet	
PRKCG	C0424295	Hyperactivity	HumPhenOnt	
GRIA1	C0035126	Reperfusion Injury	DisGeNet	
GRIK2	C0035126	Reperfusion Injury	DisGeNet	
PRKCA	C0035126	Reperfusion Injury	DisGeNet	
GRIA1	C0038587	Substance Withdrawal Syndrome	DisGeNet	
GRIA2	C0038587	Substance Withdrawal Syndrome	DisGeNet	
GRIA1	C0149931	Migraine Disorders	DisGeNet	
GRIA2	C0149931	Migraine Disorders	DisGeNet	
GRIA4	C0149931	Migraine Disorders	DisGeNet	
PRKCA	C1519689	Tumor Promotion	DisGeNet	
PRKCG	C1519689	Tumor Promotion	DisGeNet	
PRKCA	C0600452	Hepatopulmonary Syndrome	DisGeNet	
PRKCG	C0600452	Hepatopulmonary Syndrome	DisGeNet	
GRIA1	C0003469	Anxiety Disorders	DisGeNet	
GRIA2	C0003469	Anxiety Disorders	DisGeNet	
GRIK2	C0003469	Anxiety Disorders	DisGeNet	
GRIA1	C0041696	Unipolar Depression	DisGeNet	
GRIA2	C0041696	Unipolar Depression	DisGeNet	
GRIA4	C0041696	Unipolar Depression	DisGeNet	
GRIK2	C0018099	Gout	PheGenI	
PRKCA	C0018099	Gout	PheGenI	
GRIA1	C0236736	Cocaine-Related Disorders	DisGeNet	
GRIA2	C0236736	Cocaine-Related Disorders	DisGeNet	
GRIA1	C0004936	Mental disorders	DisGeNet	
GRIA2	C0004936	Mental disorders	DisGeNet	
PRKCA	C0004936	Mental disorders	DisGeNet	
GRIA1	C1269683	Major depressive disorder	DisGeNet	
GRIA2	C1269683	Major depressive disorder	DisGeNet	
GRIA4	C1269683	Major depressive disorder	DisGeNet	
GRIA1	C0043094	Increased body weight	DisGeNet	
GRIA2	C0043094	Increased body weight	DisGeNet	
GRIA4	C0043094	Increased body weight	DisGeNet	
GRIK2	C0027066	Myoclonus, intractable, neonatal	HumPhenOnt	
PRKCG	C0027066	Myoclonus, intractable, neonatal	DisGeNet	
GRIA4	C0236969	Substance-Related Disorders	DisGeNet	
GRIK2	C0236969	Substance-Related Disorders	DisGeNet	
GRIA1	C0038220	Status epilepticus	DisGeNet	
GRIA2	C0038220	Status epilepticus	DisGeNet	
GRIA2	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet	
GRIK2	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet,HumPhenOnt	
GRIP1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
PRKCG	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet	
