rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
279	Cholelithiasis	C0008350	21	171	7.447098493429394e-11	4.892162019989479e-05	APOA1,APOA4,APOB,APOC1,APOC3,APOE,EGFR,FABP6,PPARG,PTGS2,SLCO1A2,TP53,TTR,UGT1A,UGT1A1,UGT1A10,UGT1A3,UGT1A6,UGT1A7,UGT1A8,UGT1A9
280	Cholecystolithiasis	C0947622	15	86	8.769518444751156e-11	4.909696650885499e-05	APOA1,APOA4,APOB,APOC1,APOC3,APOE,FABP6,PPARG,PTGS2,SLCO1A2,TP53,TTR,UGT1A,UGT1A1,UGT1A6
281	Hyperlipidemia, combined, 1	C0020473	27	293	8.89236462242593e-11	4.927231281781518e-05	ABCB1,ADRB2,ALB,APOA1,APOA2,APOA4,APOB,APOC1,APOC2,APOC3,APOE,CDCP1,CFTR,CYP2C19,CYP2C8,CYP2C9,F7,FABP2,HP,LDLRAP1,LRP2,NPHS1,PLG,PPARG,PTGS1,SEL1L,SLC25A13
282	Acute kidney injury	C0022660	27	270	1.1206335859270666e-10	4.944765912677538e-05	ABCB1,ADRB2,AGFG1,ALB,APOE,ATM,AVP,BCL2,CFB,CFH,CST3,CYP2C19,CYP2C9,EGF,EGFR,FN1,HDAC3,HP,LRP2,PPARG,PTGS2,SLC22A6,SLC22A8,THBD,TP53,UGT1A1,UGT1A9
283	Anemia, Sickle Cell	C0002895	25	271	1.1253331599903049e-10	4.962300543573558e-05	ADRB2,APOA1,APOB,APOE,CYP2C19,CYP2C9,F7,FN1,HP,HPX,ITGA2,PLG,PPBP,SYT1,TFRC,THBD,UGT1A,UGT1A1,UGT1A10,UGT1A3,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2B7
285	Hypercholesterolemia, autosomal dominant, type B	C0020443	22	212	1.201327926025897e-10	4.997369805365597e-05	ABCB1,ADRB2,ALB,APOA1,APOA2,APOA4,APOB,APOC3,APOE,AVP,BCL2,CYP2C19,CYP2C9,DAB2,FABP2,LDLRAP1,LRP2,OCRL,PICALM,PPARG,SLC25A13,UGT1A1
286	Acute Coronary Syndrome	C0948089	26	320	2.2692792089884506e-10	5.014904436261617e-05	ABCB1,ADRB2,ALB,APOA1,APOB,APOC3,APOE,ARPC1A,ATM,BCL2,CST3,CYP2C19,CYP2C9,EGFR,F7,GSN,ITGA2,PICALM,PLG,PPARG,PPBP,PTGS1,PTGS2,SLCO1A2,THBD,UGT2B7
287	Hypertriglyceridemia result	C1522137	10	44	5.569785743730904e-10	5.032439067157636e-05	ADRB2,APOA1,APOA2,APOA4,APOB,APOC2,APOC3,APOE,FABP2,PPARG
289	Kidney Diseases	C0022658	40	755	2.318685576874202e-09	5.067508328949676e-05	ABCB1,ABCC4,ADRA1B,ADRB2,AHSG,ALB,APOA1,APOA4,APOB,APOC3,APOE,ATM,BCL2,CFH,CST3,CTSL,CYP2C8,CYP2C9,DAB2,EGF,EGFR,F7,FABP2,FN1,GSN,HP,LRP2,NPHS1,PLAT,PLG,PPARG,PTGS2,RYR2,SCARB2,SLC22A6,SLC22A8,THBD,TP53,TTR,VAMP8
290	Influenza	C0021400	31	497	2.616410421651949e-09	5.0850429598456956e-05	ABCB1,ALB,CFH,CFTR,EGFR,GRAP2,HP,KRT5,MED1,NLRC4,PLG,PPARG,PPBP,PTGS1,PTGS2,RAB5A,SERPING1,SETX,SLA2,SLC22A8,ST13,TP53,TTR,UGT1A,UGT1A1,UGT1A10,UGT1A3,UGT1A6,UGT1A7,UGT1A8,UGT1A9
