rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
97	Cushing's syndrome	C0010481	7	34	3.604703979753765e-09	3.401122019635344e-05	CRH,GIP,GIPR,GNAS,LHCGR,MC2R,POMC
99	Neoplasm of the adrenal gland	C0001624	11	111	5.444833695023021e-09	3.47124824684432e-05	ADM2,CGA,CRH,FSHR,GIP,GIPR,GNAS,LHCGR,MC2R,POMC,TSHR
100	Acth-Independent Macronodular Adrenal Hyperplasia	C1857451	7	40	1.423273698897276e-08	3.506311360448808e-05	GIP,GIPR,GNAS,GPBAR1,HTR4,MC2R,POMC
103	Pseudohypoparathyroidism, Type Ia	C3494506	6	28	2.2078428418836893e-08	3.6115007012622724e-05	CALCA,GHRH,GNAS,PTH,PTHLH,VIP
104	Abnormality of the pituitary gland	C0032002	25	645	2.883267025133307e-08	3.64656381486676e-05	ADCYAP1,ADCYAP1R1,ADM,CALCA,CRH,CRHR1,FSHB,FSHR,GCG,GHRH,GHRHR,GNAS,INSL3,LHB,LHCGR,MC2R,POMC,PTH,PTHLH,SCT,TSHB,TSHR,VIP,VIPR1,VIPR2
105	Pheochromocytoma	C0031511	15	259	5.29917418834458e-08	3.6816269284712484e-05	ADCYAP1,ADM,CALCA,CALCRL,CRH,GCG,GCGR,GNAS,HTR4,MC1R,POMC,PTH,RAMP2,SCTR,VIPR1
109	Pain insensitivity	C0344307	7	52	1.2345951561076873e-07	3.8218793828892004e-05	ABCB1,CACNA1H,CYP2D6,CYP3A4,CYP3A5,MC1R,POMC
111	Nausea	C0027497	7	54	1.6737487507079152e-07	3.8920056100981764e-05	ABCB1,CYP1A2,CYP2C19,CYP2C9,CYP2D6,FSHR,POMC
114	Drug Allergy	C0013182	8	79	2.87156965428359e-07	3.997194950911641e-05	ABCB1,ADORA2B,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP3A4,CYP3A5
115	Primary malignant neoplasm of liver	C0024620	5	25	3.0247747928591195e-07	4.032258064516129e-05	ABCB1,CYP2C19,CYP2D6,CYP3A4,CYP3A5
116	Pseudohypoparathyroidism, type IB, 603233 (3)	C1864100	5	25	3.0247747928591195e-07	4.0673211781206174e-05	GHRH,GNAS,PTH,PTH1R,PTHLH
117	Migraine Disorders	C0149931	16	333	3.12948803538049e-07	4.102384291725105e-05	ADCYAP1,ADCYAP1R1,CALCA,CYP1A2,CYP2D6,CYP3A4,DRD5,FSHR,GNAS,HTR4,HTR6,HTR7,RAMP1,VIP,VIPR1,VIPR2
119	Neoplasm of the larynx	C0023055	9	106	3.757815953964183e-07	4.172510518934081e-05	CYP1A1,CYP1A2,CYP2A6,CYP2C8,CYP2C9,CYP2D6,CYP3A4,GNAS,MGST1
120	Essential hypertension	C0085580	15	305	4.877659647295474e-07	4.2075736325385694e-05	ABCB1,ADM,ADRB1,CALCA,CALCRL,CYP2C9,CYP2D6,CYP3A5,FSHR,GCGR,GNAS,KCNH2,POMC,PTH,VIP
121	Ovarian Failure, Premature	C0085215	12	199	5.076265570114202e-07	4.242636746143058e-05	ABCB1,CYP2C19,CYP2C9,CYP3A4,CYP3A5,FSHB,FSHR,GHRH,LHB,LHCGR,POMC,TSHB
122	Medullary thyroid carcinoma	C0238462	12	201	5.688902909861682e-07	4.2776998597475454e-05	CALCA,CALCB,CALCR,CYP1A2,IAPP,INSL3,POMC,PTH,RAMP1,RXFP1,RXFP2,TSHR
123	Adrenal hyperplasia	C0342492	7	63	5.700277414533161e-07	4.312762973352034e-05	CRH,CYP2C19,CYP3A4,GIP,GNAS,MC2R,POMC
125	Adenomas, multiple colorectal, 608456 (3)	C0001430	29	975	8.548120874474208e-07	4.38288920056101e-05	ABCB1,ADORA2B,CACNA1H,CALCA,CGA,CRH,CRHR1,CYP1A1,CYP1A2,CYP2A6,CYP2C8,CYP2C9,CYP2D6,GHRH,GHRHR,GIP,GNAS,HTR4,INSL3,KCNH2,LHCGR,MC2R,POMC,PTGER2,PTGER4,PTH,PTHLH,SCTR,TSHR
126	Pseudohypoparathyroidism type 1A	C0033806	5	30	9.665431912608824e-07	4.417952314165498e-05	CALCA,GHRH,GNAS,PTH,PTHLH
