Gene	CUI	Phenotype	Source Databases	
AP4E1	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
APOE	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
CAMTA1	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
CST3	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
GFAP	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
GJC2	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
GSN	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
KCNMA1	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
KRT1	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
KRT9	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
LDB3	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
NLRC4	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
PLAG1	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
SCN5A	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
SERPING1	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
SETX	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
SPAST	C0443147	Autosomal dominant non-syndromic sensorineural deafness type DFNA	HumPhenOnt	
ALB	C0018378	Guillain-Barre syndrome, familial	DisGeNet	
APOE	C0018378	Guillain-Barre syndrome, familial	DisGeNet	
GFAP	C0018378	Guillain-Barre syndrome, familial	DisGeNet	
SERPING1	C0018378	Guillain-Barre syndrome, familial	DisGeNet	
APOC1	C0009241	Cognition Disorders	DisGeNet	
APOE	C0009241	Cognition Disorders	DisGeNet	
CST3	C0009241	Cognition Disorders	DisGeNet	
SPAST	C0009241	Cognition Disorders	DisGeNet	
GFAP	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	DisGeNet	
KRT1	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	DisGeNet	
KRT9	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	DisGeNet	
AP4E1	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
APOE	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
CAMTA1	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
CHKB	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
CRB1	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
CST3	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
GFAP	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
GJC2	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
GSN	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
LDB3	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
NLRC4	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
OBSL1	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
SACS	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
SCN5A	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
SERPING1	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
SETX	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
SLC25A13	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
SPAST	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
TRAPPC11	C4022810	Abnormality of nervous system morphology	HumPhenOnt	
ALB	C0442874	Neuropathy ataxia retinitis pigmentosa syndrome	DisGeNet	
APOE	C0442874	Neuropathy ataxia retinitis pigmentosa syndrome	DisGeNet	
GSN	C0442874	Neuropathy ataxia retinitis pigmentosa syndrome	DisGeNet	
LDB3	C0442874	Neuropathy ataxia retinitis pigmentosa syndrome	HumPhenOnt	
SACS	C0442874	Neuropathy ataxia retinitis pigmentosa syndrome	DisGeNet	
SERPING1	C0442874	Neuropathy ataxia retinitis pigmentosa syndrome	DisGeNet	
SETX	C0442874	Neuropathy ataxia retinitis pigmentosa syndrome	DisGeNet	
ALB	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
APOE	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
CAMTA1	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
CHKB	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
CRB1	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
CST3	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
GJC2	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
GSN	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
KRT1	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
KRT9	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
LDB3	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
NLRC4	C4021768	Abnormality of metabolism/homeostasis	HumPhenOnt	
