Gene	CUI	Phenotype	Source Databases	
ABCB1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
ACKR3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
ADM	C0005684	Malignant tumor of urinary bladder	DisGeNet	
AGT	C0005684	Malignant tumor of urinary bladder	DisGeNet	
AKT1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
ANXA1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
APOE	C0005684	Malignant tumor of urinary bladder	DisGeNet	
ATM	C0005684	Malignant tumor of urinary bladder	DisGeNet	
BARD1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
BCR	C0005684	Malignant tumor of urinary bladder	DisGeNet	
BLM	C0005684	Malignant tumor of urinary bladder	DisGeNet	
BRCA1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
BRCA2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
BRIP1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CALCR	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CASR	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CCL5	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CCR2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CCR3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CCR5	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CD80	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CD86	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CGA	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CHEK1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CHEK2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CXCL10	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CXCL12	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CXCL8	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CXCR1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CXCR4	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CYP1A1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CYP1A2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CYP1B1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CYP2C9	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CYP2D6	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CYP2E1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CYP3A4	C0005684	Malignant tumor of urinary bladder	DisGeNet	
CYP3A5	C0005684	Malignant tumor of urinary bladder	DisGeNet	
DNA2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
DRD4	C0005684	Malignant tumor of urinary bladder	DisGeNet	
EGF	C0005684	Malignant tumor of urinary bladder	DisGeNet	
EGFR	C0005684	Malignant tumor of urinary bladder	DisGeNet	
ERBB2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
ERBB3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
ERBB4	C0005684	Malignant tumor of urinary bladder	DisGeNet	
EXO1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
FGF1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
FGF2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
FGF3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
FGF4	C0005684	Malignant tumor of urinary bladder	DisGeNet	
FGFR1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
FGFR2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
FGFR3	C0005684	Malignant tumor of urinary bladder	ClinVar,DisGeNet	
FGFR4	C0005684	Malignant tumor of urinary bladder	DisGeNet	
FPR2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
GNAS	C0005684	Malignant tumor of urinary bladder	DisGeNet	
GRB2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
GSN	C0005684	Malignant tumor of urinary bladder	DisGeNet	
H2AFX	C0005684	Malignant tumor of urinary bladder	DisGeNet	
HBEGF	C0005684	Malignant tumor of urinary bladder	DisGeNet	
HGF	C0005684	Malignant tumor of urinary bladder	DisGeNet	
HTR1B	C0005684	Malignant tumor of urinary bladder	DisGeNet	
HTR1D	C0005684	Malignant tumor of urinary bladder	DisGeNet	
HUS1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
IAPP	C0005684	Malignant tumor of urinary bladder	DisGeNet	
IRS1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
IRS2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
KAT5	C0005684	Malignant tumor of urinary bladder	DisGeNet	
KDM4B	C0005684	Malignant tumor of urinary bladder	DisGeNet	
KNG1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
LIG4	C0005684	Malignant tumor of urinary bladder	DisGeNet	
MDC1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
MET	C0005684	Malignant tumor of urinary bladder	DisGeNet	
MTNR1B	C0005684	Malignant tumor of urinary bladder	DisGeNet	
NBN	C0005684	Malignant tumor of urinary bladder	DisGeNet	
NCOA3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
NMU	C0005684	Malignant tumor of urinary bladder	DisGeNet	
NRG1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
OPRD1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PDGFRA	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PDGFRB	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PENK	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PIK3CA	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PIK3CB	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PIK3CD	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PIK3R1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
POLL	C0005684	Malignant tumor of urinary bladder	DisGeNet	
POLM	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PRKDC	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PRSS3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
PTH	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RAD50	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RAD51	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RAD51C	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RAD51D	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RBBP8	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RFC2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RFC3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RFC4	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RFC5	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RPA1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RPA2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RPA3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
RPS27A	C0005684	Malignant tumor of urinary bladder	DisGeNet	
SSTR3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
SUMO1	C0005684	Malignant tumor of urinary bladder	DisGeNet	
TOP3A	C0005684	Malignant tumor of urinary bladder	DisGeNet	
TP53	C0005684	Malignant tumor of urinary bladder	DisGeNet	
UBC	C0005684	Malignant tumor of urinary bladder	DisGeNet	
UBE2N	C0005684	Malignant tumor of urinary bladder	DisGeNet	
WRN	C0005684	Malignant tumor of urinary bladder	DisGeNet	
XRCC2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
XRCC3	C0005684	Malignant tumor of urinary bladder	DisGeNet	
XRCC5	C0005684	Malignant tumor of urinary bladder	DisGeNet	
XRCC6	C0005684	Malignant tumor of urinary bladder	DisGeNet	
ABCB1	C2911647	Weight Gain Adverse Event	DisGeNet	
ADCY1	C2911647	Weight Gain Adverse Event	DisGeNet	
ADCY8	C2911647	Weight Gain Adverse Event	DisGeNet	
ADCY9	C2911647	Weight Gain Adverse Event	DisGeNet	
ADORA2A	C2911647	Weight Gain Adverse Event	DisGeNet	
ADRA2A	C2911647	Weight Gain Adverse Event	DisGeNet	
ADRB3	C2911647	Weight Gain Adverse Event	DisGeNet	
APOE	C2911647	Weight Gain Adverse Event	DisGeNet	
CHRM4	C2911647	Weight Gain Adverse Event	DisGeNet	
CNR1	C2911647	Weight Gain Adverse Event	DisGeNet	
DRD3	C2911647	Weight Gain Adverse Event	DisGeNet	
DRD4	C2911647	Weight Gain Adverse Event	DisGeNet	
DRD5	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM2	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM4	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM6	C2911647	Weight Gain Adverse Event	DisGeNet	
