Gene	CUI	Phenotype	Source Databases	
FN1	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	DisGeNet	
GFAP	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	DisGeNet	
KRT1	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	DisGeNet	
KRT10	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	DisGeNet	
KRT14	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	ClinVar,DisGeNet	
KRT5	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	ClinVar,DisGeNet	
KRT9	C0079298	Epidermolysis bullosa simplex, Cockayne-Touraine type	DisGeNet	
KRT1	C0240641	Palmar hyperkeratosis	HumPhenOnt	
KRT10	C0240641	Palmar hyperkeratosis	HumPhenOnt	
KRT14	C0240641	Palmar hyperkeratosis	HumPhenOnt	
KRT16	C0240641	Palmar hyperkeratosis	HumPhenOnt	
KRT5	C0240641	Palmar hyperkeratosis	HumPhenOnt	
KRT6A	C0240641	Palmar hyperkeratosis	HumPhenOnt	
KRT9	C0240641	Palmar hyperkeratosis	HumPhenOnt	
ABCB1	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
ALB	C0020473	Hyperlipidemia, combined, 1	DisGeNet,HumPhenOnt	
APOA1	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
APOA2	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
APOA4	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
APOC1	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
APOC2	C0020473	Hyperlipidemia, combined, 1	DisGeNet,HumPhenOnt	
APOC3	C0020473	Hyperlipidemia, combined, 1	DisGeNet,HumPhenOnt	
APOE	C0020473	Hyperlipidemia, combined, 1	DisGeNet,HumPhenOnt	
CDCP1	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
CYP2C19	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
CYP2C9	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
CYP2D6	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
CYP3A4	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
CYP3A5	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
F7	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
HP	C0020473	Hyperlipidemia, combined, 1	DisGeNet	
NPHS1	C0020473	Hyperlipidemia, combined, 1	HumPhenOnt	
SLC25A13	C0020473	Hyperlipidemia, combined, 1	HumPhenOnt	
KRT1	C1856954	Plantar hyperkeratosis	HumPhenOnt	
KRT10	C1856954	Plantar hyperkeratosis	HumPhenOnt	
KRT14	C1856954	Plantar hyperkeratosis	HumPhenOnt	
KRT16	C1856954	Plantar hyperkeratosis	HumPhenOnt	
KRT5	C1856954	Plantar hyperkeratosis	HumPhenOnt	
KRT6A	C1856954	Plantar hyperkeratosis	HumPhenOnt	
KRT9	C1856954	Plantar hyperkeratosis	HumPhenOnt	
ABCB1	C0948089	Acute Coronary Syndrome	DisGeNet	
ALB	C0948089	Acute Coronary Syndrome	DisGeNet	
APOA1	C0948089	Acute Coronary Syndrome	DisGeNet	
APOC3	C0948089	Acute Coronary Syndrome	DisGeNet	
APOE	C0948089	Acute Coronary Syndrome	DisGeNet	
ATM	C0948089	Acute Coronary Syndrome	DisGeNet	
CST3	C0948089	Acute Coronary Syndrome	DisGeNet,PheGenI	
CYP1A2	C0948089	Acute Coronary Syndrome	DisGeNet	
CYP2B6	C0948089	Acute Coronary Syndrome	DisGeNet	
CYP2C19	C0948089	Acute Coronary Syndrome	DisGeNet	
CYP2C9	C0948089	Acute Coronary Syndrome	DisGeNet	
CYP3A4	C0948089	Acute Coronary Syndrome	DisGeNet,PheGenI	
CYP3A5	C0948089	Acute Coronary Syndrome	DisGeNet	
F7	C0948089	Acute Coronary Syndrome	DisGeNet	
GSN	C0948089	Acute Coronary Syndrome	DisGeNet	
ITGA2	C0948089	Acute Coronary Syndrome	DisGeNet	
PPBP	C0948089	Acute Coronary Syndrome	DisGeNet	
SLC6A4	C0948089	Acute Coronary Syndrome	DisGeNet	
APOE	C0686347	Tardive Dyskinesia	DisGeNet	
CYP1A2	C0686347	Tardive Dyskinesia	DisGeNet	
CYP2B6	C0686347	Tardive Dyskinesia	DisGeNet	
CYP2D6	C0686347	Tardive Dyskinesia	DisGeNet	
CYP3A4	C0686347	Tardive Dyskinesia	DisGeNet	
CYP3A5	C0686347	Tardive Dyskinesia	DisGeNet	
PDE4B	C0686347	Tardive Dyskinesia	DisGeNet	
SLC6A4	C0686347	Tardive Dyskinesia	DisGeNet	
ABCB1	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
ALB	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
APOA1	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
APOA2	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
APOA4	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
APOC3	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet,HumPhenOnt	
APOE	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet,HumPhenOnt	
CYP2B6	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
CYP2C19	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
CYP2C9	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
CYP2D6	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
CYP3A4	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
CYP3A5	C0020443	Hypercholesterolemia, autosomal dominant, type B	DisGeNet	
SLC25A13	C0020443	Hypercholesterolemia, autosomal dominant, type B	HumPhenOnt	
DMD	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	HumPhenOnt	
KRT1	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	DisGeNet,HumPhenOnt	
KRT10	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	DisGeNet,HumPhenOnt	
KRT14	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	DisGeNet,HumPhenOnt	
KRT16	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	ClinVar,DisGeNet,HumPhenOnt	
KRT5	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	DisGeNet,HumPhenOnt	
KRT6A	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	DisGeNet,HumPhenOnt	
KRT6B	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	HumPhenOnt	
KRT9	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	DisGeNet,HumPhenOnt	
LDB3	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	HumPhenOnt	
SCN5A	C0022596	Palmoplantar keratoderma, nonepidermolytic, focal	HumPhenOnt	
