Gene	CUI	Phenotype	Source Databases	
PLG	C0006277	Bronchitis	HumPhenOnt	
SCNN1A	C0006277	Bronchitis	HumPhenOnt	
SCNN1B	C0006277	Bronchitis	HumPhenOnt	
SCNN1G	C0006277	Bronchitis	HumPhenOnt	
SCNN1A	C0020461	Hyperkalemia	HumPhenOnt	
SCNN1B	C0020461	Hyperkalemia	HumPhenOnt	
SCNN1G	C0020461	Hyperkalemia	HumPhenOnt	
SCNN1A	C4023644	Abnormality of sodium homeostasis	HumPhenOnt	
SCNN1B	C4023644	Abnormality of sodium homeostasis	HumPhenOnt	
SCNN1G	C4023644	Abnormality of sodium homeostasis	HumPhenOnt	
PLG	C4025725	Abnormality of the bronchi	HumPhenOnt	
SCNN1A	C4025725	Abnormality of the bronchi	HumPhenOnt	
SCNN1B	C4025725	Abnormality of the bronchi	HumPhenOnt	
SCNN1G	C4025725	Abnormality of the bronchi	HumPhenOnt	
SCNN1A	C0020625	Hyponatremia	HumPhenOnt	
SCNN1B	C0020625	Hyponatremia	HumPhenOnt	
SCNN1G	C0020625	Hyponatremia	HumPhenOnt	
SCNN1A	C4025685	Adrenal overactivity	HumPhenOnt	
SCNN1B	C4025685	Adrenal overactivity	HumPhenOnt	
SCNN1G	C4025685	Adrenal overactivity	HumPhenOnt	
PLG	C0581381	Recurrent upper respiratory tract infections	HumPhenOnt	
SCNN1A	C0581381	Recurrent upper respiratory tract infections	HumPhenOnt	
SCNN1B	C0581381	Recurrent upper respiratory tract infections	HumPhenOnt	
SCNN1G	C0581381	Recurrent upper respiratory tract infections	HumPhenOnt	
PLG	C4025750	Abnormality of the nasopharynx	HumPhenOnt	
SCNN1A	C4025750	Abnormality of the nasopharynx	HumPhenOnt	
SCNN1B	C4025750	Abnormality of the nasopharynx	HumPhenOnt	
SCNN1G	C4025750	Abnormality of the nasopharynx	HumPhenOnt	
SCNN1A	C0020428	Hyperaldosteronism, familial, type IV	HumPhenOnt	
SCNN1B	C0020428	Hyperaldosteronism, familial, type IV	HumPhenOnt	
SCNN1G	C0020428	Hyperaldosteronism, familial, type IV	HumPhenOnt	
SCNN1A	C4023575	Abnormality of potassium homeostasis	HumPhenOnt	
SCNN1B	C4023575	Abnormality of potassium homeostasis	HumPhenOnt	
SCNN1G	C4023575	Abnormality of potassium homeostasis	HumPhenOnt	
PLAU	C0020649	Hypotension	DisGeNet	
SCNN1A	C0020649	Hypotension	HumPhenOnt	
SCNN1B	C0020649	Hypotension	HumPhenOnt	
SCNN1G	C0020649	Hypotension	DisGeNet,HumPhenOnt	
PLG	C4025838	Abnormality of the pharynx	HumPhenOnt	
SCNN1A	C4025838	Abnormality of the pharynx	HumPhenOnt	
SCNN1B	C4025838	Abnormality of the pharynx	HumPhenOnt	
SCNN1G	C4025838	Abnormality of the pharynx	HumPhenOnt	
AOC1	C0020538	Hypertension	DisGeNet	
ASIC1	C0020538	Hypertension	DisGeNet	
PLG	C0020538	Hypertension	DisGeNet	
SCNN1A	C0020538	Hypertension	DisGeNet	
SCNN1B	C0020538	Hypertension	DisGeNet,HumPhenOnt	
SCNN1G	C0020538	Hypertension	DisGeNet,HumPhenOnt	
SLC22A1	C0020538	Hypertension	DisGeNet	
SLC22A2	C0020538	Hypertension	DisGeNet	
SLC22A4	C0020538	Hypertension	DisGeNet	
SLC9A1	C0020538	Hypertension	DisGeNet	
SCNN1A	C4023645	Abnormality of monovalent inorganic cation homeostasis	HumPhenOnt	
SCNN1B	C4023645	Abnormality of monovalent inorganic cation homeostasis	HumPhenOnt	
SCNN1G	C4023645	Abnormality of monovalent inorganic cation homeostasis	HumPhenOnt	
SCNN1A	C0220981	Metabolic acidosis	HumPhenOnt	
SCNN1B	C0220981	Metabolic acidosis	HumPhenOnt	
SCNN1G	C0220981	Metabolic acidosis	HumPhenOnt	
SCNN1A	C0008677	Bronchitis, Chronic	HumPhenOnt	
SCNN1B	C0008677	Bronchitis, Chronic	HumPhenOnt	
SCNN1G	C0008677	Bronchitis, Chronic	HumPhenOnt	
PLG	C4021631	Abnormality of the tracheobronchial system	HumPhenOnt	
SCNN1A	C4021631	Abnormality of the tracheobronchial system	HumPhenOnt	
SCNN1B	C4021631	Abnormality of the tracheobronchial system	HumPhenOnt	
SCNN1G	C4021631	Abnormality of the tracheobronchial system	HumPhenOnt	
PLAU	C0023223	Leg Ulcer	DisGeNet	
PLG	C0023223	Leg Ulcer	DisGeNet	
PLG	C0376618	Endotoxemia	DisGeNet	
SLC22A1	C0376618	Endotoxemia	DisGeNet	
SLC22A2	C0376618	Endotoxemia	DisGeNet	
SCNN1A	C4022833	Abnormal urinary electrolyte concentration	HumPhenOnt	
SCNN1B	C4022833	Abnormal urinary electrolyte concentration	HumPhenOnt	
SCNN1G	C4022833	Abnormal urinary electrolyte concentration	HumPhenOnt	
PLAU	C0035243	Respiratory tract infection	DisGeNet	
