Gene	CUI	Phenotype	Source Databases	
NOS2	C0001418	 Adenocarcinoma, ovarian, somatic, 167000 (3)	DisGeNet	
NOS2	C0001925	Albuminuria	DisGeNet	
NOS2	C0002395	Alzheimer Disease	DisGeNet	
NOS2	C0002736	Amyotrophic Lateral Sclerosis	DisGeNet	
NOS2	C0002797	Bovine Anaplasmosis	DisGeNet	
NOS2	C0002871	Anemia	DisGeNet	
NOS2	C0002874	Aplastic anemia	DisGeNet	
NOS2	C0002986	Fabry disease	DisGeNet	
NOS2	C0003130	Hypoxia	DisGeNet	
NOS2	C0003850	Arteriosclerosis	DisGeNet	
NOS2	C0003864	Arthritis, Rheumatoid	DisGeNet	
NOS2	C0003872	Arthritis, Psoriatic	DisGeNet	
NOS2	C0003873	Rheumatoid arthritis	DisGeNet	
NOS2	C0003949	Asbestosis	DisGeNet	
NOS2	C0004096	Asthma	DisGeNet	
NOS2	C0004153	Atherosclerosis	DisGeNet	
NOS2	C0004352	Autism 15	DisGeNet	
NOS2	C0004364	Autoimmune disease 1	DisGeNet	
NOS2	C0004623	Recurrent bacterial infection	DisGeNet	
NOS2	C0004763	Barrett Esophagus	DisGeNet	
NOS2	C0004936	Mental disorders	DisGeNet	
NOS2	C0004943	Behcet Syndrome	DisGeNet	
NOS2	C0005283	beta Thalassemia	DisGeNet	
NOS2	C0005586	Bipolar affective disorder	DisGeNet	
NOS2	C0005684	Malignant tumor of urinary bladder	DisGeNet	
NOS2	C0005695	Urinary Bladder Neoplasms	DisGeNet	
NOS2	C0006111	Brain Diseases	DisGeNet	
NOS2	C0006114	Cerebral edema	DisGeNet	
NOS2	C0006118	Brain neoplasm	DisGeNet	
NOS2	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
NOS2	C0006271	Bronchiolitis	DisGeNet	
NOS2	C0006274	Bronchiolitis, Viral	DisGeNet	
NOS2	C0007102	Colon cancer	DisGeNet	
NOS2	C0007120	Alveolar cell carcinoma	DisGeNet	
NOS2	C0007131	Non-small cell lung carcinoma	DisGeNet	
NOS2	C0007134	Renal cell carcinoma, nonpapillary	DisGeNet	
NOS2	C0007137	Squamous cell carcinoma	DisGeNet	
NOS2	C0007193	Cardiomyopathy, Dilated	DisGeNet	
NOS2	C0007222	Cardiovascular Diseases	DisGeNet	
NOS2	C0007570	Celiac Disease	DisGeNet	
NOS2	C0007621	Neoplastic Cell Transformation	DisGeNet	
NOS2	C0007766	Intracranial Aneurysm	DisGeNet	
NOS2	C0007785	Ischaemic cerebral infarction	DisGeNet	
NOS2	C0007786	Brain Ischemia	DisGeNet	
NOS2	C0007789	Cerebral palsy, spastic quadriplegic, 3	DisGeNet	
NOS2	C0008149	Chlamydia Infections	DisGeNet	
NOS2	C0008313	Cholangitis, Sclerosing	DisGeNet	
NOS2	C0008370	Cholestasis, benign recurrent intrahepatic 1	DisGeNet	
NOS2	C0008495	Chorioamnionitis	DisGeNet	
NOS2	C0008677	Bronchitis, Chronic	DisGeNet	
NOS2	C0009319	Colitis, Ulcerative	DisGeNet	
NOS2	C0009324	Ulcerative colitis	DisGeNet	
NOS2	C0009375	Neoplasm of the colon	DisGeNet	
NOS2	C0009376	Colonic Polyps	DisGeNet	
NOS2	C0009402	Colorectal cancer 1	DisGeNet	
NOS2	C0009404	Colorectal Neoplasms	DisGeNet	
NOS2	C0009443	Familial cold-induced inflammatory syndrome 1, 120100 (3)	DisGeNet	
NOS2	C0009450	Verotoxigenic Escherichia coli gastrointestinal tract infection	DisGeNet	
