Gene	CUI	Phenotype	Source Databases	
ABCB1	C0013182	Drug Allergy	DisGeNet	
CYP2C8	C0013182	Drug Allergy	DisGeNet	
CYP2D6	C0013182	Drug Allergy	DisGeNet	
CYP3A4	C0013182	Drug Allergy	DisGeNet	
CYP3A5	C0013182	Drug Allergy	DisGeNet	
LTA	C0013182	Drug Allergy	DisGeNet	
TNF	C0013182	Drug Allergy	DisGeNet	
ABCB1	C0030201	Acute postoperative pain	DisGeNet	
CYP2D6	C0030201	Acute postoperative pain	DisGeNet	
CYP3A4	C0030201	Acute postoperative pain	DisGeNet	
TNF	C0030201	Acute postoperative pain	DisGeNet	
TNFRSF1A	C0030201	Acute postoperative pain	DisGeNet	
CYP1A1	C0023055	Neoplasm of the larynx	DisGeNet	
CYP2C8	C0023055	Neoplasm of the larynx	DisGeNet	
CYP2D6	C0023055	Neoplasm of the larynx	DisGeNet	
CYP3A4	C0023055	Neoplasm of the larynx	DisGeNet	
GSTA2	C0023055	Neoplasm of the larynx	DisGeNet	
MGST1	C0023055	Neoplasm of the larynx	DisGeNet	
TNF	C0023055	Neoplasm of the larynx	DisGeNet	
ABCB1	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP2D6	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP3A4	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP3A5	C0024620	Primary malignant neoplasm of liver	DisGeNet	
ABCB1	C0344307	Pain insensitivity	DisGeNet	
CYP2D6	C0344307	Pain insensitivity	DisGeNet	
CYP3A4	C0344307	Pain insensitivity	DisGeNet	
CYP3A5	C0344307	Pain insensitivity	DisGeNet	
TNF	C0344307	Pain insensitivity	DisGeNet	
IRAK4	C0276226	Herpes simplex encephalitis, susceptibility to, 7	DisGeNet	
TNF	C0276226	Herpes simplex encephalitis, susceptibility to, 7	DisGeNet	
TRAF3	C0276226	Herpes simplex encephalitis, susceptibility to, 7	DisGeNet	
UNC93B1	C0276226	Herpes simplex encephalitis, susceptibility to, 7	ClinVar,DisGeNet	
HSP90B1	C0333516	Tumor necrosis	DisGeNet	
MYD88	C0333516	Tumor necrosis	DisGeNet	
RIPK1	C0333516	Tumor necrosis	DisGeNet	
RNF31	C0333516	Tumor necrosis	DisGeNet	
TNF	C0333516	Tumor necrosis	DisGeNet	
TNFRSF1A	C0333516	Tumor necrosis	DisGeNet	
TRAF2	C0333516	Tumor necrosis	DisGeNet	
TRAF6	C0333516	Tumor necrosis	DisGeNet	
CYP1A1	C0026857	Musculoskeletal Diseases	DisGeNet	
CYP2D6	C0026857	Musculoskeletal Diseases	DisGeNet	
