Gene	CUI	Phenotype	Source Databases	
KCNJ1	C0268450	Familial hypokalemia-hypomagnesemia	DisGeNet	
KCNJ1	C0553730	Chondrocalcinosis	HumPhenOnt	
KCNJ1	C4025685	Adrenal overactivity	HumPhenOnt	
KCNJ1	C3693260	Abnormal urine output	HumPhenOnt	
KCNJ1	C4022657	Abnormal drinking behavior	HumPhenOnt	
KCNJ1	C0855740	Abnormal platelet function	HumPhenOnt	
KCNJ1	C4023579	Abnormality of renal excretion	HumPhenOnt	
KCNJ1	C4021656	Abnormality of fatty-acid metabolism	HumPhenOnt	
KCNJ1	C0002063	Alkalosis	HumPhenOnt	
KCNJ1	C0032617	Polyuria	HumPhenOnt	
CBR1	C1297882	Partial Trisomy	DisGeNet	
KCNJ1	C0020428	Hyperaldosteronism, familial, type IV	HumPhenOnt	
KCNJ1	C4023575	Abnormality of potassium homeostasis	HumPhenOnt	
KCNJ1	C0020621	Hypokalemia	HumPhenOnt	
KCNJ1	C0085602	Polydipsia	HumPhenOnt	
KCNJ1	C4023434	Abnormality of urine calcium concentration	HumPhenOnt	
CBR1	C1096063	Drug Resistant Epilepsy	DisGeNet	
KCNJ1	C4023645	Abnormality of monovalent inorganic cation homeostasis	HumPhenOnt	
CBR1	C0431380	Cortical dysplasia, complex, with other brain malformations 3	DisGeNet	
CBR1	C1955869	Malformation of cortical development	DisGeNet	
KCNJ1	C0746674	Generalized muscle weakness	HumPhenOnt	
KCNJ1	C4073150	Abnormal consumption behavior	HumPhenOnt	
KCNJ1	C0020438	Hypercalciuria	HumPhenOnt	
KCNJ1	C0027709	Nephrocalcinosis	DisGeNet,HumPhenOnt	
CBR1	C0278704	Malignant Childhood Neoplasm	DisGeNet	
KCNJ1	C1835884	Triangular face	HumPhenOnt	
KCNJ1	C0205217	Increased analgesia from kappa-opioid receptor agonist, female-specific	HumPhenOnt	
KCNJ1	C0026821	Muscle cramps	HumPhenOnt	
KCNJ1	C0235991	Small for gestational age	HumPhenOnt	
KCNJ1	C0030554	Paresthesia	HumPhenOnt	
KCNJ1	C4022833	Abnormal urinary electrolyte concentration	HumPhenOnt	
KCNJ1	C1837260	Prominent forehead	HumPhenOnt	
KCNJ1	C0011175	Dehydration	HumPhenOnt	
