Gene	CUI	Phenotype	Source Databases	
ABCB1	C0036337	Schizoaffective Disorder	DisGeNet	
ACKR3	C0036337	Schizoaffective Disorder	DisGeNet	
ADRA2B	C0036337	Schizoaffective Disorder	DisGeNet	
CXCR6	C0036337	Schizoaffective Disorder	DisGeNet	
CYP2D6	C0036337	Schizoaffective Disorder	DisGeNet	
DRD3	C0036337	Schizoaffective Disorder	DisGeNet	
DRD4	C0036337	Schizoaffective Disorder	DisGeNet	
DRD5	C0036337	Schizoaffective Disorder	DisGeNet	
GRM3	C0036337	Schizoaffective Disorder	DisGeNet	
GRM4	C0036337	Schizoaffective Disorder	DisGeNet	
HTR1B	C0036337	Schizoaffective Disorder	DisGeNet	
LPAR2	C0036337	Schizoaffective Disorder	DisGeNet	
NPY	C0036337	Schizoaffective Disorder	DisGeNet	
SST	C0036337	Schizoaffective Disorder	DisGeNet	
SSTR4	C0036337	Schizoaffective Disorder	DisGeNet	
ABCB1	C0004936	Mental disorders	DisGeNet	
ACTN2	C0004936	Mental disorders	DisGeNet	
ADCYAP1R1	C0004936	Mental disorders	DisGeNet	
ADRA2C	C0004936	Mental disorders	DisGeNet	
AKT1	C0004936	Mental disorders	DisGeNet	
BDKRB1	C0004936	Mental disorders	DisGeNet	
BDKRB2	C0004936	Mental disorders	DisGeNet	
CHRM2	C0004936	Mental disorders	DisGeNet	
CHRM4	C0004936	Mental disorders	DisGeNet	
CNR1	C0004936	Mental disorders	DisGeNet	
CNR2	C0004936	Mental disorders	DisGeNet	
CORT	C0004936	Mental disorders	DisGeNet	
CYP2B6	C0004936	Mental disorders	DisGeNet	
CYP2D6	C0004936	Mental disorders	DisGeNet	
DLG4	C0004936	Mental disorders	DisGeNet	
DRD3	C0004936	Mental disorders	DisGeNet	
DRD4	C0004936	Mental disorders	DisGeNet	
DRD5	C0004936	Mental disorders	DisGeNet	
GABBR1	C0004936	Mental disorders	DisGeNet	
GALR1	C0004936	Mental disorders	DisGeNet	
GALR3	C0004936	Mental disorders	DisGeNet	
GPBAR1	C0004936	Mental disorders	DisGeNet	
GRIN2A	C0004936	Mental disorders	DisGeNet	
GRM7	C0004936	Mental disorders	DisGeNet	
GRM8	C0004936	Mental disorders	DisGeNet	
HTR1A	C0004936	Mental disorders	DisGeNet	
HTR1B	C0004936	Mental disorders	DisGeNet	
HTR5A	C0004936	Mental disorders	DisGeNet	
HTR7	C0004936	Mental disorders	DisGeNet	
LPAR3	C0004936	Mental disorders	DisGeNet	
MCHR2	C0004936	Mental disorders	DisGeNet	
MTNR1B	C0004936	Mental disorders	DisGeNet	
NPY	C0004936	Mental disorders	DisGeNet	
OPRK1	C0004936	Mental disorders	DisGeNet	
OPRM1	C0004936	Mental disorders	DisGeNet	
OXER1	C0004936	Mental disorders	DisGeNet	
PDYN	C0004936	Mental disorders	DisGeNet	
POMC	C0004936	Mental disorders	DisGeNet	
SSTR5	C0004936	Mental disorders	DisGeNet	
ABCB1	C2911647	Weight Gain Adverse Event	DisGeNet	
ADRA2A	C2911647	Weight Gain Adverse Event	DisGeNet	
ADRB3	C2911647	Weight Gain Adverse Event	DisGeNet	
CAMK2A	C2911647	Weight Gain Adverse Event	DisGeNet	
CAMK2B	C2911647	Weight Gain Adverse Event	DisGeNet	
CHRM4	C2911647	Weight Gain Adverse Event	DisGeNet	
CNR1	C2911647	Weight Gain Adverse Event	DisGeNet	
DRD3	C2911647	Weight Gain Adverse Event	DisGeNet	
DRD4	C2911647	Weight Gain Adverse Event	DisGeNet	
DRD5	C2911647	Weight Gain Adverse Event	DisGeNet	
GRIN2A	C2911647	Weight Gain Adverse Event	DisGeNet	
GRIN2C	C2911647	Weight Gain Adverse Event	DisGeNet	
GRIN2D	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM2	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM3	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM4	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM6	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM7	C2911647	Weight Gain Adverse Event	DisGeNet	
GRM8	C2911647	Weight Gain Adverse Event	DisGeNet	
HRH2	C2911647	Weight Gain Adverse Event	DisGeNet	
HRH3	C2911647	Weight Gain Adverse Event	DisGeNet	
HRH4	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR1A	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR1B	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR1D	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR1E	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR1F	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR4	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR5A	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR6	C2911647	Weight Gain Adverse Event	DisGeNet	
HTR7	C2911647	Weight Gain Adverse Event	DisGeNet	
MC4R	C2911647	Weight Gain Adverse Event	DisGeNet	
PPP3R1	C2911647	Weight Gain Adverse Event	DisGeNet	
ABCB1	C0021368	Inflammation	DisGeNet	
ADORA1	C0021368	Inflammation	DisGeNet	
ADRB3	C0021368	Inflammation	DisGeNet	
AGT	C0021368	Inflammation	DisGeNet	
AKT1	C0021368	Inflammation	DisGeNet	
ANXA1	C0021368	Inflammation	DisGeNet	
APLN	C0021368	Inflammation	DisGeNet	
APP	C0021368	Inflammation	DisGeNet	
BDKRB1	C0021368	Inflammation	DisGeNet	
BDKRB2	C0021368	Inflammation	DisGeNet	
C3	C0021368	Inflammation	DisGeNet	
C3AR1	C0021368	Inflammation	DisGeNet	
C5	C0021368	Inflammation	DisGeNet	
C5AR1	C0021368	Inflammation	DisGeNet	
CAMK2A	C0021368	Inflammation	DisGeNet	
CAV1	C0021368	Inflammation	DisGeNet	
CCL19	C0021368	Inflammation	DisGeNet	
CCL20	C0021368	Inflammation	DisGeNet	
CCL21	C0021368	Inflammation	DisGeNet	
CCL5	C0021368	Inflammation	DisGeNet	
CCR2	C0021368	Inflammation	DisGeNet	
CCR3	C0021368	Inflammation	DisGeNet	
CCR5	C0021368	Inflammation	DisGeNet	
CCR6	C0021368	Inflammation	DisGeNet	
CCR7	C0021368	Inflammation	DisGeNet	
CCR8	C0021368	Inflammation	DisGeNet	
CHRM2	C0021368	Inflammation	DisGeNet	
CNR1	C0021368	Inflammation	DisGeNet	
CNR2	C0021368	Inflammation	DisGeNet	
CXCL1	C0021368	Inflammation	DisGeNet	
CXCL10	C0021368	Inflammation	DisGeNet	
CXCL11	C0021368	Inflammation	DisGeNet	
