rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
19	Arterial thrombosis	C0151942	3	94	1.1818774736660487e-08	2.691218130311615e-05	PLAT,PLAU,PLG
25	Thromboembolism	C0040038	3	118	2.967695833522299e-08	3.541076487252125e-05	PLAT,PLAU,PLG
26	Premature Birth	C0151526	4	376	3.597017506073996e-08	3.682719546742209e-05	PLAT,PLAU,PLAUR,PLG
27	Thrombophilia	C0398623	3	125	3.740773568683409e-08	3.824362606232295e-05	HRG,PLAT,PLG
29	Leg Ulcer	C0023223	2	25	4.594246494349363e-08	4.107648725212465e-05	PLAU,PLG
30	Pulmonary Embolism	C0034065	3	133	4.7911709266657e-08	4.2492917847025494e-05	PLAT,PLAU,PLG
31	Thrombophilia due to activated protein C resistance	C1861171	2	26	5.193369601030895e-08	4.390934844192634e-05	HRG,PLG
32	Venous thrombosis	C0042487	3	142	6.24085285672038e-08	4.53257790368272e-05	PLAT,PLAU,PLG
39	Thrombosis	C0040053	3	157	9.34558654908102e-08	5.524079320113314e-05	HRG,PLAT,PLAU
40	Myocardial Infarction	C0027051	5	1019	1.0243039427759726e-07	5.6657223796033995e-05	HRG,PLAT,PLAU,PLAUR,PLG
41	Polycystic Ovary Syndrome	C0032460	4	477	1.1755871542895591e-07	5.807365439093484e-05	PLAT,PLAU,PLAUR,PLG
42	Dermatitis Herpetiformis	C0011608	2	35	1.304873273877405e-07	5.94900849858357e-05	PLAU,PLG
43	Resistance to activated protein C	C0600433	2	35	1.304873273877405e-07	6.090651558073655e-05	HRG,PLG
44	Bleeding disorder, platelet-type, 21	C0005779	3	177	1.5132202435541586e-07	6.23229461756374e-05	PLAT,PLAU,PLG
45	Seborheic dermatitis	C0011603	3	181	1.654273366069603e-07	6.373937677053825e-05	PLAU,PLAUR,PLG
46	Simple pneumoconiosis	C0032273	2	38	1.6803606850412933e-07	6.51558073654391e-05	PLAT,PLAU
47	Status epilepticus	C0038220	3	185	1.8055404349404114e-07	6.657223796033994e-05	PLAT,PLAU,PLAUR
48	Arterial Occlusive Diseases	C0003838	2	41	2.122899738221662e-07	6.79886685552408e-05	PLAT,PLAU
49	Fetal Membranes, Premature Rupture	C0015943	3	194	2.185456099423888e-07	6.940509915014165e-05	PLAT,PLAU,PLAUR
50	Chorioamnionitis	C0008495	3	195	2.2300895796689701e-07	7.08215297450425e-05	PLAT,PLAU,PLAUR
