rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
25	Taste bitter	C0235290	9	30	0.0	7.933989209774674e-06	ACKR3,ADRA2B,CXCR6,LPAR2,LPAR3,OXER1,SSTR4,TAS2R16,TAS2R38
85	Status epilepticus	C0038220	19	185	7.361888876289413e-13	2.6975563313233894e-05	ABCB1,CCR10,CCR2,CCR3,CCR5,CCR7,CCR8,CCR9,CNR1,CXCL1,CXCL12,HRH3,NPY,SST,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5
86	Mental disorders	C0004936	30	439	1.0152989560197057e-12	2.7292922881624883e-05	ABCB1,ADRA2C,ANKK1,BDKRB1,BDKRB2,CHRM4,CNR1,CNR2,CORT,CYP2D6,DRD2,DRD3,DRD4,GABBR1,GALR1,GALR3,GRM7,GRM8,HTR1A,HTR1B,HTR5A,LPAR3,MCHR2,MTNR1B,NPY,OPRK1,OXER1,PDYN,POMC,SSTR5
87	Inflammation	C0021368	47	647	2.5066615449986784e-12	2.761028245001587e-05	ABCB1,ADORA1,AGT,ANXA1,APLN,APP,BDKRB1,BDKRB2,C3,C3AR1,C5,C5AR1,CCL19,CCL20,CCL21,CCL5,CCR2,CCR3,CCR5,CCR6,CCR7,CCR8,CNR1,CNR2,CXCL1,CXCL10,CXCL11,CXCL12,CXCL16,CXCL2,CXCL6,CXCL8,CXCR1,CXCR2,CXCR3,CYP2D6,CYP3A4,FPR1,FPR2,GAL,KNG1,NPY5R,PF4,POMC,PTGDR2,PTGER3,SAA1
88	Opiate Addiction	C0524662	15	40	2.8025359810612827e-12	2.7927642018406854e-05	ABCB1,ANKK1,CYP2D6,DRD2,DRD3,DRD4,GAL,GRM6,GRM8,OPRD1,OPRK1,OPRL1,PDYN,PENK,POMC
89	Schizoaffective Disorder	C0036337	14	81	8.81061890112278e-12	2.8245001586797843e-05	ABCB1,ACKR3,ADRA2B,CXCR6,CYP2D6,DRD2,DRD3,DRD4,GRM4,HTR1B,LPAR2,NPY,SST,SSTR4
90	Substance Use Disorders	C0038586	9	31	1.2210121802525009e-11	2.856236115518883e-05	CNR1,DRD2,DRD3,DRD4,HTR1A,HTR1B,NPY,OPRK1,POMC
91	Pain	C0030193	33	628	1.2314149699932386e-11	2.8879720723579815e-05	ABCB1,ADRA2A,ADRA2C,BDKRB1,BDKRB2,CASR,CCL5,CCR1,CCR2,CCR6,CNR1,CNR2,CXCL12,CYP2D6,DRD2,DRD3,DRD4,GABBR1,HTR1A,HTR1B,KNG1,MTNR1B,NPBWR1,OPRD1,OPRK1,OPRL1,P2RY12,PDYN,PENK,PNOC,POMC,SAA1,SST
93	Depressive Disorder	C0011581	31	543	1.3455014880037197e-11	2.951443986036179e-05	ABCB1,ADRA2A,ADRA2C,AGT,ANKK1,CCR2,CNR1,CNR2,CXCL8,CYP2D6,DRD2,DRD3,DRD4,GAL,GALR2,GNB1,GRM2,HTR1A,HTR1B,HTR1D,LPAR1,MCHR1,MTNR1B,NPY,NPY1R,NPY2R,OPRK1,PDYN,PMCH,POMC,TAS2R38
94	Weight Gain Adverse Event	C2911647	21	151	1.8427370740425886e-11	2.9831799428752776e-05	ABCB1,ADRA2A,ANKK1,CHRM4,CNR1,DRD2,DRD3,DRD4,GRM2,GRM4,GRM6,GRM7,GRM8,HRH3,HRH4,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR5A
