node_name	node_type	
DB01064	drug	
ADRB2	drug_target	
MAPK1	drug_target	
ADRB1	drug_target	
PIK3R1	drug_target	
ADRB3	drug_target	
PIK3R3	drug_target	
CYP1A1	drug_target	
PIK3R2	drug_target	
Inflammation	phenotype	
Intestinal Neoplasms	phenotype	
Ischemia	phenotype	
Melanocytic nevus	phenotype	
Cubitus valgus	phenotype	
Osteosarcoma	phenotype	
Pituitary adenoma	phenotype	
Rectal Carcinoma	phenotype	
Carcinoma, Papillary	phenotype	
Abnormality of the integument	phenotype	
Malignant tumor of urinary bladder	phenotype	
Synovial sarcoma	phenotype	
Growth abnormality	phenotype	
Nerve Sheath Tumors	phenotype	
Neoplasm of the central nervous system	phenotype	
Abnormality of the digestive system	phenotype	
Astrocytoma	phenotype	
Abnormality of skin pigmentation	phenotype	
Intraocular melanoma	phenotype	
Squamous cell carcinoma of the head and neck	phenotype	
Sarcoma, Ewing	phenotype	
Hyperglycemia	phenotype	
Seizures, Febrile	phenotype	
Noonan syndrome 1	phenotype	
Rhabdomyosarcoma alveolar	phenotype	
Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation	phenotype	
Hemangioma	phenotype	
BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4	phenotype	
Hepatic cancer metastatic	phenotype	
{Gastric cancer risk after H. pylori infection}, 137215 (3)	phenotype	
Osteoporosis	phenotype	
Abnormality of cardiovascular system electrophysiology	phenotype	
Acth-Independent Macronodular Adrenal Hyperplasia	phenotype	
Hodgkin Disease	phenotype	
Neoplasm of the colon	phenotype	
Bipolar affective disorder	phenotype	
Abnormality of the pituitary gland	phenotype	
Melanoma	phenotype	
Alzheimer Disease	phenotype	
Thymoma	phenotype	
Anaplastic astrocytoma	phenotype	
Gastrointestinal stromal tumor	phenotype	
Hypertelorism	phenotype	
Abnormality of the orbital region	phenotype	
Neoplasm by anatomical site	phenotype	
Abnormality of the genitourinary system	phenotype	
Adenomas, multiple colorectal, 608456 (3)	phenotype	
Triple Negative Breast Neoplasms	phenotype	
Urothelial Carcinoma	phenotype	
Dermatosis NOS	phenotype	
Pain	phenotype	
Non-Neoplastic Disorder	phenotype	
Stomach cancer	phenotype	
Medulloblastoma	phenotype	
Anaplasia	phenotype	
Irregular hyperpigmentation	phenotype	
Carcinoid tumor	phenotype	
Malignant Glioma	phenotype	
Ameloblastoma	phenotype	
Cholangiocarcinoma	phenotype	
Malignant neoplasm of kidney	phenotype	
Thyroid Neoplasms	phenotype	
Diabetes Mellitus, Type 1	phenotype	
Endometrial carcinoma	phenotype	
Abnormality of cardiovascular system morphology	phenotype	
Acute leukemia	phenotype	
Congenital anomalies of kidney and urinary tract 1, susceptibility to	phenotype	
Abnormality of the upper urinary tract	phenotype	
Autosomal dominant non-syndromic sensorineural deafness type DFNA	phenotype	
Bone fragility with contractures, arterial rupture, and deafness	phenotype	
Benign melanocytic nevus	phenotype	
Pancreatic Carcinoma	phenotype	
Neurodegenerative Diseases	phenotype	
Abnormality of lung morphology	phenotype	
Ovarian epithelial cancer	phenotype	
Hypogonadotropic hypogonadism 7 with or without anosmia	phenotype	
Attention deficit hyperactivity disorder	phenotype	
Arteriosclerosis	phenotype	
Depressed nasal bridge	phenotype	
Asthma	phenotype	
Abnormality of the head	phenotype	
Cancer of mouth	phenotype	
Subcutaneous nodule	phenotype	
Fibrosarcoma	phenotype	
Benign neoplasm of other endocrine glands	phenotype	
Animal Mammary Neoplasms	phenotype	
Colitis, Ulcerative	phenotype	
Abnormal morphology of the ocular adnexa	phenotype	
Symptomatic human immunodeficiency virus infection	phenotype	
Abnormality of skeletal physiology	phenotype	
Prostatic Neoplasms	phenotype	
Tumor Progression	phenotype	
Verotoxigenic Escherichia coli gastrointestinal tract infection	phenotype	
Polycystic Ovary Syndrome	phenotype	
Carcinoid tumor no ICD-O subtype	phenotype	
Chronic myeloid leukemia	phenotype	
Lung Neoplasms	phenotype	
Neuroendocrine neoplasm	phenotype	
Ovarian Neoplasms	phenotype	
Hepatitis C	phenotype	
Hematological neoplasm	phenotype	
Mesothelioma, malignant	phenotype	
Refractory cancer	phenotype	
Osteoarthritis	phenotype	
Squamous cell carcinoma	phenotype	
Abnormal vascular morphology	phenotype	
Acute Erythroblastic Leukemia	phenotype	
Pancreatic Neoplasms	phenotype	
Abnormality of the endocrine system	phenotype	
B-cell lymphoma	phenotype	
Multiple Myeloma	phenotype	
Secondary hypertriglyceridemia	phenotype	
Colon cancer	phenotype	
Renal neoplasm	phenotype	
Somatic mutation	phenotype	
Neoplasm of the nervous system	phenotype	
Testicular Neoplasms	phenotype	
Papillary thyroid carcinoma	phenotype	
Neoplasms	phenotype	
Seborrheic keratosis	phenotype	
Neoplasm Recurrence, Local	phenotype	
Glioblastoma	phenotype	
Abnormality of the nervous system	phenotype	
Abnormality of the respiratory system	phenotype	
Carcinoma of colon	phenotype	
Rheumatoid arthritis	phenotype	
Brain neoplasm	phenotype	
Esophageal Squamous Cell Carcinoma	phenotype	
Abnormality of the hair	phenotype	
Schwannoma	phenotype	
Neoplasm of the skin	phenotype	
Solid tumour	phenotype	
Lymphoma, Large B-Cell, Diffuse	phenotype	
Schizophrenia	phenotype	
Benign Prostatic Hyperplasia	phenotype	
Thyroid cancer, nonmedullary, 4	phenotype	
Precursor Cell Lymphoblastic Leukemia-Lymphoma	phenotype	
Breast carcinoma	phenotype	
Squamous cell carcinoma of lung	phenotype	
Mammary Tumorigenesis	phenotype	
Colorectal cancer 1	phenotype	
Abnormality of the urinary system	phenotype	
Tuberous sclerosis syndrome	phenotype	
Acute myeloid leukemia	phenotype	
Hypertension	phenotype	
Abnormality of skin adnexa morphology	phenotype	
Abnormality of globe location	phenotype	
Alcohol dependence	phenotype	
Rhabdoid Tumor of the Kidney	phenotype	
Delayed skeletal maturation	phenotype	
Adenocarcinoma of lung	phenotype	
Migraine Disorders	phenotype	
Tumor Angiogenesis	phenotype	
Colorectal Neoplasms	phenotype	
Chondrosarcoma	phenotype	
Neoplasm of the liver	phenotype	
Juvenile myelomonocytic leukemia	phenotype	
Pleural Mesothelioma	phenotype	
Major depressive disorder	phenotype	
Prostate carcinoma	phenotype	
Hyperplasia	phenotype	
High grade serous carcinoma	phenotype	
Retinoblastoma	phenotype	
Abnormality of the eye	phenotype	
Progressive Neoplastic Disease	phenotype	
Progressive cGVHD	phenotype	
Kidney Failure, Chronic	phenotype	
Neoplasm Invasiveness	phenotype	
gliosarcoma	phenotype	
Autism 15	phenotype	
Malignant neoplasm of endometrium	phenotype	
Uterine Corpus Cancer	phenotype	
Unipolar Depression	phenotype	
Nevus	phenotype	
Renal cell carcinoma, nonpapillary	phenotype	
Excessive wrinkled skin	phenotype	
Thyroid carcinoma	phenotype	
Neck Neoplasms	phenotype	
Chronic obstructive pulmonary disease	phenotype	
Abnormality of the face	phenotype	
Carcinoma of cervix	phenotype	
Precancerous Conditions	phenotype	
Chronic myelomonocytic leukemia	phenotype	
Constitutional symptom	phenotype	
Papillary adenocarcinoma	phenotype	
Abnormality of head or neck	phenotype	
Abnormality of skeletal morphology	phenotype	
Adenocarcinoma, Endometrioid	phenotype	
Hypermelanotic macule	phenotype	
Cardiomyopathy	phenotype	
Carcinoma breast stage IV	phenotype	
Neurofibromatosis, type 1, 162200 (3)	phenotype	
Severe combined immunodeficiency due to ADA deficiency	phenotype	
Neurofibromas	phenotype	
