Gene	CUI	Phenotype	Source Databases	
AHI1	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
B9D1	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
B9D2	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
CC2D2A	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
CEP290	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
CEP41	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
MKS1	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
RPGRIP1L	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
TCTN1	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
TCTN2	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
TMEM216	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
TMEM67	C0266642	Heterotaxy, visceral, 7, autosomal	HumPhenOnt	
AHI1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet,HumPhenOnt	
ALMS1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
AMER1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet,HumPhenOnt	
APC	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet	
B9D1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
BUB1B	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
BUB3	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
C2CD3	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
CC2D2A	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet,HumPhenOnt	
CDK5R1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet	
CDK5RAP2	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
CENPJ	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
CEP135	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
CEP152	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
CEP290	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet,HumPhenOnt	
CEP41	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
CEP57	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
CEP63	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
CEP83	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet,HumPhenOnt	
CTNNB1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet,HumPhenOnt	
DVL1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
DYNC1H1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	DisGeNet,HumPhenOnt	
IQCB1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
LRP5	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
MKS1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
NDE1	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
NEK2	C3714756	Intellectual developmental disorder with dysmorphic facies and ptosis	HumPhenOnt	
