node_name	node_type	
DB00501	drug	
SLC22A1	drug_target	
SLC22A4	drug_target	
HRH2	drug_target	
FMO3	drug_target	
SLC22A5	drug_target	
SLC22A2	drug_target	
CYP2E1	drug_target	
CYP2C8	drug_target	
CYP1A2	drug_target	
SLC22A6	drug_target	
ABCB11	drug_target	
CYP2D6	drug_target	
CYP3A5	drug_target	
SLC22A11	drug_target	
ABCB1	drug_target	
SLC47A1	drug_target	
CYP2C9	drug_target	
CYP3A4	drug_target	
CYP2C19	drug_target	
FMO1	drug_target	
SLC22A8	drug_target	
SLC22A3	drug_target	
Cushing's syndrome	phenotype	
Neoplasm of the adrenal gland	phenotype	
Pheochromocytoma	phenotype	
Acth-Independent Macronodular Adrenal Hyperplasia	phenotype	
Abnormality of the pituitary gland	phenotype	
Pseudohypoparathyroidism, Type Ia	phenotype	
Nausea	phenotype	
Secondary hyperparathyroidism	phenotype	
Primary malignant neoplasm of liver	phenotype	
Pseudohypoparathyroidism, type IB, 603233 (3)	phenotype	
Drug Allergy	phenotype	
Irritable bowel syndrome with diarrhea	phenotype	
Migraine Disorders	phenotype	
Adrenal hyperplasia	phenotype	
Ovarian Failure, Premature	phenotype	
Essential hypertension	phenotype	
Bone necrosis	phenotype	
Anxiety Disorders	phenotype	
Medullary thyroid carcinoma	phenotype	
Pseudohypoparathyroidism type 1A	phenotype	
Disorder of endocrine system	phenotype	
Kidney Failure, Chronic	phenotype	
Tachycardia	phenotype	
Neuroendocrine neoplasm	phenotype	
Pain insensitivity	phenotype	
Congenital adrenal hyperplasia	phenotype	
Acute postoperative pain	phenotype	
Methamphetamine abuse	phenotype	
Neoplasm of the larynx	phenotype	
Thyroid hormone receptor defect	phenotype	
Acute-Phase Reaction	phenotype	
Stomach Diseases	phenotype	
Hyperlipidemia, combined, 1	phenotype	
Pituitary corticotropic cell adenoma	phenotype	
Hypertension	phenotype	
Chronic Fatigue Syndrome	phenotype	
Adenomas, multiple colorectal, 608456 (3)	phenotype	
Squamous Cell Neoplasms	phenotype	
Adrenocortical carcinoma	phenotype	
Female infertility	phenotype	
Acute kidney injury	phenotype	
Renal Insufficiency, Chronic	phenotype	
Bradycardia	phenotype	
Anorexia nervosa 1	phenotype	
Pituitary adenoma	phenotype	
Substance Withdrawal Syndrome	phenotype	
Hyperalgesia	phenotype	
Hyperplasia	phenotype	
Gastrointestinal Diseases	phenotype	
