node_name	node_type	
DB08927	drug	
HTR2A	drug_target	
Inflammation	phenotype	
Anosmia	phenotype	
Pain	phenotype	
Mental disorders	phenotype	
Adenomas, multiple colorectal, 608456 (3)	phenotype	
Abnormality of the pituitary gland	phenotype	
Alzheimer Disease	phenotype	
Impotence	phenotype	
Male hypogonadism	phenotype	
Decreased serum testosterone level	phenotype	
Panic disorder syndrome 1 (2)	phenotype	
Anxiety Disorders	phenotype	
Congestive heart failure	phenotype	
Bipolar affective disorder	phenotype	
Anxiety	phenotype	
Tumor Progression	phenotype	
Asthma	phenotype	
Alcohol dependence	phenotype	
Coronary heart disease 7	phenotype	
Hypoplasia of the uterus	phenotype	
Gastrinoma	phenotype	
Cocaine-Related Disorders	phenotype	
Hypoparathyroidism - autosomal dominant	phenotype	
Obesity	phenotype	
Hypertension	phenotype	
Female sexual dysfunction	phenotype	
Absence of secondary sex characteristics	phenotype	
Abnormal female reproductive system physiology	phenotype	
Hypogonadotropic hypogonadism 7 with or without anosmia	phenotype	
Depressive Disorder	phenotype	
Hypogonadism with anosmia	phenotype	
Prostate carcinoma	phenotype	
Essential hypertension	phenotype	
Schizophrenia	phenotype	
Bradycardia	phenotype	
Decreased testosterone in males	phenotype	
Aplasia/Hypoplasia of the breasts	phenotype	
Left ventricular hypertrophy	phenotype	
Atherosclerosis	phenotype	
Panic disorder 1	phenotype	
Pulmonary hypertension, neonatal, susceptibility to	phenotype	
Mood Disorders	phenotype	
Hypotension	phenotype	
Sparse body hair	phenotype	
Increased body weight	phenotype	
Aplasia/hypoplasia of the uterus	phenotype	
Abnormal circulating androgen level	phenotype	
Hypoplasia of the ovary	phenotype	
Aplasia/Hypoplasia of the ovary	phenotype	
Breast hypoplasia	phenotype	
Non-obstructive azoospermia	phenotype	
Erectile abnormalities	phenotype	
Obstructive sleep apnea	phenotype	
Female hypogonadism	phenotype	
Generalized joint laxity	phenotype	
Hyperalgesia	phenotype	
Heart Failure	phenotype	
Secondary amenorrhea	phenotype	
Abnormal serum testosterone level	phenotype	
Disorders of parathyroid gland	phenotype	
genetic hypertension	phenotype	
Wide intermamillary distance	phenotype	
Abnormal intermamillary distance	phenotype	
Irritable bowel syndrome with diarrhea	phenotype	
Neoplasm of the colon	phenotype	
Taste bitter	phenotype	
Secondary hypertriglyceridemia	phenotype	
Pruritus	phenotype	
Malignant tumor of prostate	phenotype	
Unipolar Depression	phenotype	
Decreased testicular size	phenotype	
Ovarian epithelial cancer	phenotype	
{Unipolar depression, susceptibility to}, 608516 (3)	phenotype	
Major depressive disorder	phenotype	
Inflammatory pain	phenotype	
Neuroendocrine neoplasm	phenotype	
Arteriosclerosis	phenotype	
Malignant neoplasm of endometrium	phenotype	
Uterine Corpus Cancer	phenotype	
Depression	phenotype	
Cholestasis of pregnancy	phenotype	
Bronchial Hyperreactivity	phenotype	
Primary hyperaldosteronism	phenotype	
Attention deficit hyperactivity disorder	phenotype	
Pulmonary fibrosis and/or bone marrow failure, telomere-related, 4	phenotype	
Myocardial Infarction	phenotype	
Neuroblastoma	phenotype	
Sepsis	phenotype	
Aplasia/Hypoplasia of the testes	phenotype	
Colon cancer	phenotype	
Migraine Disorders	phenotype	
Abnormal fear/anxiety-related behavior	phenotype	
Carcinoma of colon	phenotype	
Decreased beta-glucocerebrosidase protein and activity	phenotype	
Animal Mammary Neoplasms	phenotype	
Lung Neoplasms	phenotype	
Abnormal spermatogenesis	phenotype	
Gynecomastia	phenotype	
Coronary Artery Disease	phenotype	
Abnormality of the testis size	phenotype	
Delayed menarche	phenotype	
Abnormality of the sense of smell	phenotype	
Amenorrhea	phenotype	
Migraine with aura	phenotype	
Hereditary pancreatitis	phenotype	
Substance Withdrawal Syndrome	phenotype	
Diabetes Mellitus, Type 1	phenotype	
Gastric ulcer	phenotype	
Functional abnormality of male internal genitalia	phenotype	
Abnormal uterus morphology	phenotype	
Diabetes mellitus type 2	phenotype	
Cardiovascular Diseases	phenotype	
Gastrointestinal Diseases	phenotype	
Abnormality of the menstrual cycle	phenotype	
Breast-ovarian cancer, familial 1	phenotype	
Abnormal nipple morphology	phenotype	
Sparse hair	phenotype	
Breast carcinoma	phenotype	
Albinism, ocular, with sensorineural deafness	phenotype	
Abnormal male reproductive system physiology	phenotype	
Pancreatic Carcinoma	phenotype	
Abnormality of hair density	phenotype	
Acute myocardial ischemia	phenotype	
Pituitary adenoma	phenotype	
Memory Loss	phenotype	
Anorexia	phenotype	
Menstrual irregularities	phenotype	
Constipation	phenotype	
Hereditary hearing loss and deafness	phenotype	
Delayed skeletal maturation	phenotype	
Rheumatoid arthritis	phenotype	
Nephrosclerosis	phenotype	
Paroxysmal atrial fibrillation	phenotype	
Delayed puberty	phenotype	
Reperfusion Injury	phenotype	
Melanoma	phenotype	
Abnormality of the diencephalon	phenotype	
Myocardial Reperfusion Injury	phenotype	
Pulmonary Disease, Chronic Obstructive	phenotype	
Methamphetamine abuse	phenotype	
Nephrogenic diabetes insipidus, autosomal	phenotype	
Leiomyoma	phenotype	
Anorexia nervosa 1	phenotype	
Weight Gain Adverse Event	phenotype	
Cancer Cell Growth	phenotype	
Septicemia	phenotype	
Pheochromocytoma	phenotype	
Kidney Failure, Chronic	phenotype	
Azoospermia	phenotype	
Prostatic Neoplasms	phenotype	
Abnormality of circulating hormone level	phenotype	
Neoplasm of the adrenal gland	phenotype	
Inflammatory Bowel Diseases	phenotype	
Eating disorder	phenotype	
Uterine leiomyoma	phenotype	
Abnormality of skeletal maturation	phenotype	
Endometrial carcinoma	phenotype	
Osteoporosis	phenotype	
 Acrodysostosis 1, with or without hormone resistance, 101800 (3)	phenotype	
Pseudohypoparathyroidism, type IB, 603233 (3)	phenotype	
Overweight	phenotype	
Verotoxigenic Escherichia coli gastrointestinal tract infection	phenotype	
Polydipsia	phenotype	
Chronic sciatica	phenotype	
Narcolepsy-Cataplexy Syndrome	phenotype	
polyps	phenotype	
Abnormality of the ovary	phenotype	
Bulimia	phenotype	
Osteopenia	phenotype	
Chronic heart failure	phenotype	
Primary pulmonary hypertension	phenotype	
Osteoarthritis	phenotype	
Hereditary Sensory Autonomic Neuropathy, Type 1	phenotype	
Hyposmia	phenotype	
Camptodactyly, tall stature, and hearing loss syndrome	phenotype	
Abnormality of the voice	phenotype	
Flexion contracture of digit	phenotype	
Bimanual synkinesia	phenotype	
Glucose intolerance	phenotype	
Carcinogenesis	phenotype	
Malignant neoplasm of pancreas	phenotype	
body mass	phenotype	
Diabetic Nephropathies	phenotype	
Disorders of Intracellular Cobalamin Metabolism	phenotype	
Pulmonary Cystic Fibrosis	phenotype	
 {Nicotine dependence, protection against}, 188890 (3)	phenotype	
Colorectal cancer	phenotype	
Antisocial Personality Disorder	phenotype	
Polycystic Ovary Syndrome	phenotype	
Premature Obstetric Labor	phenotype	
Dyspareunia	phenotype	
Malignant ascites	phenotype	
Intraocular melanoma	phenotype	
Congenital Myotonic Dystrophy	phenotype	
Acute kidney injury	phenotype	
Acute postoperative pain	phenotype	
Reduced bone mineral density	phenotype	
Acute disease of cardiovascular system	phenotype	
Insulinoma	phenotype	
Prader-Willi syndrome	phenotype	
Common Migraine	phenotype	
Epilepsy	phenotype	
Bulimia nervosa 1	phenotype	
Choriocarcinoma	phenotype	
Steinert myotonic dystrophy syndrome	phenotype	
Benign Prostatic Hyperplasia	phenotype	
Decreased fertility	phenotype	
Portal hypertension, noncirrhotic	phenotype	
Acth-Independent Macronodular Adrenal Hyperplasia	phenotype	
Glioma	phenotype	
Abnormality of the endocrine system	phenotype	
Low back pain	phenotype	
Bleeding with minor or no trauma	phenotype	
Granulomatosis with Polyangiitis	phenotype	
Abnormality of skeletal physiology	phenotype	
Immediate hypersensitivity	phenotype	
Colorectal cancer 1	phenotype	
Renal Insufficiency, Chronic	phenotype	
Anaphylactic shock NOS	phenotype	
Sciatic Neuropathy	phenotype	
Cystic Fibrosis	phenotype	
Bleeding disorder, platelet-type, 21	phenotype	
Abnormal breast morphology	phenotype	
Schizoaffective Disorder	phenotype	
Hallucinations	phenotype	
Cryptorchidism	phenotype	
Endometriosis	phenotype	
Abnormality of the breast	phenotype	
Synovial Cyst	phenotype	
Metabolic Syndrome X	phenotype	
Eclampsia	phenotype	
Fibromyalgia	phenotype	
Pulmonary arterial hypertension	phenotype	
Joint hypermobility	phenotype	
Lung cancer	phenotype	
Ganglioneuroblastoma	phenotype	
Ischemia	phenotype	
Abdominal pain	phenotype	
Recurrent tumor	phenotype	
Cough	phenotype	
Abnormality of bone mineral density	phenotype	
Abnormality of female internal genitalia	phenotype	
Nephrosis	phenotype	
Abnormal pupillary morphology	phenotype	
Epilepsy, Temporal Lobe	phenotype	
Pain insensitivity	phenotype	
Rhinitis, Allergic, Seasonal	phenotype	
Gastroesophageal reflux	phenotype	
Abnormality of the hair	phenotype	
Thyroid hormone receptor defect	phenotype	
Seizures, Febrile	phenotype	
Renal cell carcinoma, nonpapillary	phenotype	
Hypoxia	phenotype	
