rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
133	Taste bitter	C0235290	10	30	8.072653656654438e-12	3.25422069977979e-05	ACKR3,ADRA2B,CXCR6,GPBAR1,LPAR2,LPAR3,OXER1,SSTR4,TAS2R16,TAS2R38
134	Schizoaffective Disorder	C0036337	12	81	1.1576628544673895e-11	3.278688524590164e-05	ACKR3,ADRA2B,CXCR6,DRD3,DRD4,DRD5,GRM4,HTR1B,LPAR2,NPY,SST,SSTR4
135	Weight Gain Adverse Event	C2911647	25	151	1.8335999385499235e-11	3.3031563494005386e-05	ADORA2A,ADRA2A,ADRB3,CHRM4,CNR1,DRD3,DRD4,DRD5,GRM2,GRM4,GRM6,GRM7,GRM8,HRH2,HRH3,HRH4,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR4,HTR5A,HTR6,HTR7
136	Drug Dependence	C1510472	12	66	2.4067525750126606e-11	3.327624174210913e-05	CNR1,CRHR1,DRD3,GAL,GCG,HTR1B,OPRD1,OPRK1,OPRL1,PENK,PNOC,POMC
137	Liver Diseases	C0023895	31	586	2.61423105385461e-11	3.3520919990212874e-05	ADRB3,AGT,ANXA1,CCL16,CCL20,CCL5,CCR1,CCR2,CCR5,CCR6,CNR1,CNR2,CXCL1,CXCL10,CXCL12,CXCL16,CXCL2,CXCL8,CXCL9,CXCR4,CXCR6,GCG,GIP,GNAI2,GNAS,IAPP,NPY1R,NPY5R,PF4,PMCH,VIPR1
138	Mental disorders	C0004936	37	439	2.7044810835263888e-11	3.376559823831661e-05	ADCYAP1,ADCYAP1R1,ADRA2C,BDKRB1,BDKRB2,CALCA,CHRM4,CNR1,CNR2,CORT,CRH,CRHR1,DRD3,DRD4,DRD5,GABBR1,GALR1,GALR3,GPBAR1,GRM7,GRM8,HTR1A,HTR1B,HTR5A,HTR7,LPAR3,MCHR2,MTNR1B,NPY,OPRK1,OXER1,PDYN,POMC,PTH,SCT,SSTR5,VIP
139	Ischemia	C0022116	38	647	2.99562596950409e-11	3.4010276486420355e-05	ADA,ADCYAP1,ADM,ADORA1,ADORA2A,ADORA2B,ADRB3,AGT,AGTR2,ANXA1,APLNR,APP,C5,C5AR1,CALCA,CALCRL,CCR5,CNR2,CXCL10,CXCL12,CXCL16,CXCL2,CXCL8,CXCR2,CXCR3,CXCR4,GPBAR1,GPER1,GPR17,HTR1B,LPAR3,NPY,NPY2R,OXER1,POMC,S1PR1,S1PR3,VIP
140	Inflammation	C0021368	56	647	2.9956481739645824e-11	3.42549547345241e-05	ADA,ADCYAP1,ADM,ADORA1,ADRB3,AGT,ANXA1,APLN,APP,BDKRB1,BDKRB2,C3,C3AR1,C5,C5AR1,CALCA,CCL19,CCL20,CCL21,CCL5,CCR2,CCR3,CCR5,CCR6,CCR7,CCR8,CNR1,CNR2,CRH,CRHR1,CXCL1,CXCL10,CXCL11,CXCL12,CXCL16,CXCL2,CXCL6,CXCL8,CXCR1,CXCR2,CXCR3,FPR1,FPR2,GAL,KNG1,NPY5R,PF4,POMC,PTGDR2,PTGER2,PTGER3,PTGER4,SAA1,SLC28A3,TSHR,VIP
141	Alzheimer Disease	C0002395	60	1699	3.336686482668938e-11	3.449963298262784e-05	ADORA2A,ADRA2A,ADRB1,ADRB3,AGT,AGTR2,ANXA1,APP,BDKRB2,C3,C5AR1,CALCR,CASR,CCL5,CCR1,CCR2,CCR5,CNR2,CRH,CXCL12,CXCL8,CXCR2,CXCR4,DRD3,DRD4,DRD5,FSHR,GABBR1,GAL,GHRH,GHRHR,GRM2,HCAR3,HTR1A,HTR1B,HTR1F,HTR6,IAPP,KNG1,LHB,LHCGR,MTNR1A,NMU,NPS,NPY,NPY2R,P2RY12,PDYN,PPY,PTGDR,PTGER2,PTGER3,PTGER4,PTGIR,PTH,PTH1R,PYY,SAA1,SST,SSTR2
142	Pituitary adenoma	C0032000	22	286	3.4040326113427e-11	3.474431123073159e-05	ACKR3,CASR,CGA,CRH,CRHR1,CXCL12,CXCL8,CXCR4,FSHB,FSHR,GAL,GHRH,GHRHR,GNAS,MC2R,NPY,POMC,SST,SSTR1,SSTR2,SSTR3,SSTR5
