rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
17	Anemia, Sickle Cell	C0002895	5	271	3.762654410266464e-09	1.0309278350515464e-05	AKT1,CALM3,HSP90AA1,NOS1,NOS3
19	Pulmonary hypertension, neonatal, susceptibility to	C0020542	5	333	1.2780750235918958e-08	1.1522134627046696e-05	AKT1,CALM3,CAV1,NOS1,NOS3
22	Tardive Dyskinesia	C0686347	3	64	3.49055642168139e-08	1.334141904184354e-05	AKT1,NOS1,NOS3
23	Malignant neoplasm of colon stage IV	C0278484	3	69	4.738592784825357e-08	1.3947847180109158e-05	AKT1,CAV1,HSP90AA1
25	Orofacial dyskinesia	C0152115	3	73	5.963693006094672e-08	1.5160703456640388e-05	AKT1,NOS1,NOS3
27	Endothelial dysfunction	C0856169	4	216	7.684689207199114e-08	1.637355973317162e-05	AKT1,CAV1,HSP90AA1,NOS3
28	Meningioma	C0025286	5	452	7.808719770796557e-08	1.6979987871437235e-05	AKT1,CALM3,CAV1,NOS1,NOS3
29	Primary pulmonary hypertension	C0152171	4	227	9.834714964629399e-08	1.758641600970285e-05	AKT1,CAV1,HSP90AA1,NOS3
32	Hepatopulmonary Syndrome	C0600452	3	99	2.04347063603727e-07	1.94057004244997e-05	AKT1,CAV1,NOS3
33	Anaplastic large cell lymphoma, ALK negative	C0206180	4	263	2.0440537984445228e-07	2.001212856276531e-05	AKT1,CALM3,HSP90AA1,NOS1
34	Depressive Disorder	C0011581	5	543	2.3012327410310007e-07	2.0618556701030927e-05	AKT1,CALM3,HSP90AA1,NOS1,NOS3
35	{Unipolar depression, susceptibility to}, 608516 (3)	C0011570	5	555	2.6167435696056174e-07	2.1224984839296545e-05	AKT1,CALM3,HSP90AA1,NOS1,NOS3
37	Cardiomegaly	C0018800	4	279	2.739468144552504e-07	2.2437841115827774e-05	AKT1,CAV1,NOS1,NOS3
51	Portal hypertension, noncirrhotic	C0020541	3	112	3.3588345549340204e-07	3.0927835051546395e-05	HSP90AA1,NOS1,NOS3
52	Chronic atrial fibrillation	C0694539	2	26	3.3597915360950026e-07	3.1534263189812006e-05	CALM3,NOS3
53	Abnormality of subcutaneous fat tissue	C4025813	2	28	4.229949307488212e-07	3.214069132807762e-05	AKT1,CAV1
