node_name	node_type	
DB04224	drug	
FABP7	drug_target	
GLTP	drug_target	
FABP3	drug_target	
PMP2	drug_target	
ALB	drug_target	
FABP1	drug_target	
FABP4	drug_target	
GC	drug_target	
Autosomal dominant non-syndromic sensorineural deafness type DFNA	phenotype	
Hyperkeratosis	phenotype	
Plantar hyperkeratosis	phenotype	
Diabetes mellitus type 2	phenotype	
Epidermal thickening	phenotype	
Epidermolysis bullosa simplex, Cockayne-Touraine type	phenotype	
Palmar hyperkeratosis	phenotype	
Hyperlipidemia, combined, 1	phenotype	
Palmoplantar keratoderma, nonepidermolytic, focal	phenotype	
Diabetes Mellitus, Type 1	phenotype	
Abnormality of metabolism/homeostasis	phenotype	
Thickened skin	phenotype	
Abnormality of the skin	phenotype	
Alzheimer Disease	phenotype	
Myofibrillar myopathy, BAG3-related	phenotype	
Coronary Artery Disease	phenotype	
Abnormality of cardiovascular system electrophysiology	phenotype	
Abnormality of the plantar skin of foot	phenotype	
Obesity	phenotype	
Abnormality of blood and blood-forming tissues	phenotype	
Kidney Failure, Chronic	phenotype	
Abnormality of skin morphology	phenotype	
Hyperlipidemia, familial combined	phenotype	
Myocardial Infarction	phenotype	
Hyperlipoproteinemia	phenotype	
Cardiovascular Diseases	phenotype	
Hypertriglyceridemia result	phenotype	
Abnormality of circulating protein level	phenotype	
Hyperhidrosis	phenotype	
Abnormal blistering of the skin	phenotype	
Stage 5 chronic kidney disease	phenotype	
Abnormality of the immune system	phenotype	
Chronic kidney disease	phenotype	
Coronary heart disease 7	phenotype	
Kidney Diseases	phenotype	
Carotid Atherosclerosis	phenotype	
Abnormality of the integument	phenotype	
Ichthyosis, congenital, autosomal recessive 12	phenotype	
Acute myocardial ischemia	phenotype	
Neoplasm of the liver	phenotype	
Onset	phenotype	
Hypertriglyceridemia	phenotype	
Cholecystolithiasis	phenotype	
Inflammation	phenotype	
Abnormality of immune system physiology	phenotype	
Lipoatrophy	phenotype	
Familial type 3 hyperlipoproteinemia	phenotype	
Arteriosclerosis	phenotype	
Acute Coronary Syndrome	phenotype	
Myopathy, scapulohumeroperoneal	phenotype	
Abnormality of the nervous system	phenotype	
Atherosclerosis	phenotype	
body mass	phenotype	
Dyslipidemias	phenotype	
Vascular Diseases	phenotype	
Mild cognitive impairment	phenotype	
Age-related macular degeneration 2	phenotype	
Metabolic Syndrome X	phenotype	
Vascular skin abnormality	phenotype	
 Cerebrovascular disease, occlusive (3)	phenotype	
Hypohidrosis	phenotype	
Skin Diseases, Genetic	phenotype	
Oral leukoplakia	phenotype	
Drug Eruptions	phenotype	
Alzheimer Disease, Late Onset	phenotype	
Insulin resistance syndrome	phenotype	
Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	phenotype	
Azorean disease	phenotype	
Cerebral Amyloid Angiopathy	phenotype	
Insulin Resistance	phenotype	
Diabetic Nephropathies	phenotype	
Membranous nephropathy, susceptibility to	phenotype	
Erythema	phenotype	
Restenosis	phenotype	
Multiple Sclerosis	phenotype	
Abnormality of lipid metabolism	phenotype	
Diabetic Angiopathies	phenotype	
