Gene	CUI	Phenotype	Source Databases	
ABCB1	C0085602	Polydipsia	DisGeNet	
CACNA1D	C0085602	Polydipsia	HumPhenOnt	
CYP11B2	C0085602	Polydipsia	HumPhenOnt	
CYP1A2	C0085602	Polydipsia	DisGeNet	
CYP2D6	C0085602	Polydipsia	DisGeNet	
NLRC4	C0085602	Polydipsia	HumPhenOnt	
ABCB1	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP2D6	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP3A4	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP3A5	C0024620	Primary malignant neoplasm of liver	DisGeNet	
ABCB1	C0014548	Epilepsy, generalized, with febrile seizures plus, type 6 (2)	DisGeNet	
CACNA1G	C0014548	Epilepsy, generalized, with febrile seizures plus, type 6 (2)	DisGeNet	
CACNA1H	C0014548	Epilepsy, generalized, with febrile seizures plus, type 6 (2)	DisGeNet	
CACNB4	C0014548	Epilepsy, generalized, with febrile seizures plus, type 6 (2)	DisGeNet	
HP	C0014548	Epilepsy, generalized, with febrile seizures plus, type 6 (2)	DisGeNet	
KCNMA1	C0014548	Epilepsy, generalized, with febrile seizures plus, type 6 (2)	DisGeNet	
ABCB1	C0344307	Pain insensitivity	DisGeNet	
CACNA1H	C0344307	Pain insensitivity	DisGeNet	
CYP2D6	C0344307	Pain insensitivity	DisGeNet	
CYP3A4	C0344307	Pain insensitivity	DisGeNet	
CYP3A5	C0344307	Pain insensitivity	DisGeNet	
ABCB1	C0027497	Nausea	DisGeNet	
CACNA1D	C0027497	Nausea	HumPhenOnt	
CYP11B2	C0027497	Nausea	HumPhenOnt	
CYP1A2	C0027497	Nausea	DisGeNet	
CYP2D6	C0027497	Nausea	DisGeNet	
CACNA1C	C1141890	Congenital long QT syndrome	DisGeNet	
CYP2D6	C1141890	Congenital long QT syndrome	DisGeNet	
CYP3A4	C1141890	Congenital long QT syndrome	DisGeNet	
SCN5A	C1141890	Congenital long QT syndrome	DisGeNet	
