node_name	node_type	
DB00598	drug	
ADRB1	drug_target	
CYP2D6	drug_target	
ADRB2	drug_target	
Abnormality of the pituitary gland	phenotype	
Acth-Independent Macronodular Adrenal Hyperplasia	phenotype	
Neoplasm of the adrenal gland	phenotype	
Secondary hyperparathyroidism	phenotype	
Pheochromocytoma	phenotype	
Pituitary adenoma	phenotype	
Neuroendocrine neoplasm	phenotype	
Migraine Disorders	phenotype	
Alzheimer Disease	phenotype	
Cushing's syndrome	phenotype	
Bipolar affective disorder	phenotype	
Mood Disorders	phenotype	
Acute-Phase Reaction	phenotype	
Adrenocortical carcinoma	phenotype	
Kidney Failure, Chronic	phenotype	
Essential hypertension	phenotype	
Pseudohypoparathyroidism, Type Ia	phenotype	
Medullary thyroid carcinoma	phenotype	
Malignant tumor of prostate	phenotype	
Adenomas, multiple colorectal, 608456 (3)	phenotype	
Hyperparathyroidism 4	phenotype	
Heart Failure	phenotype	
Pseudohypoparathyroidism, type IB, 603233 (3)	phenotype	
Hyperplasia	phenotype	
Cholera	phenotype	
Pain	phenotype	
Anxiety Disorders	phenotype	
Tachycardia	phenotype	
Pituitary corticotropic cell adenoma	phenotype	
Delayed puberty	phenotype	
Disorder of endocrine system	phenotype	
Pituitary dependent hypercortisolism	phenotype	
Asthma	phenotype	
Pseudohypoparathyroidism type 1A	phenotype	
Female infertility	phenotype	
Renal Insufficiency, Chronic	phenotype	
Obesity, severe, 601665 (3)	phenotype	
Alcohol dependence	phenotype	
Prostate carcinoma	phenotype	
Bradycardia	phenotype	
Attention deficit hyperactivity disorder	phenotype	
Polycystic Ovary Syndrome	phenotype	
Hypertension	phenotype	
Anorexia nervosa 1	phenotype	
Hypercholesterolemia, autosomal dominant, type B	phenotype	
Benign melanocytic nevus	phenotype	
Inflammation	phenotype	
Increased analgesia from kappa-opioid receptor agonist, female-specific	phenotype	
Hyperalgesia	phenotype	
Major depressive disorder	phenotype	
Mental disorders	phenotype	
Breast-ovarian cancer, familial 1	phenotype	
{Unipolar depression, susceptibility to}, 608516 (3)	phenotype	
Congestive heart failure	phenotype	
Carcinoid tumor no ICD-O subtype	phenotype	
Adrenocortical adenoma	phenotype	
Stress, Psychological	phenotype	
Liver Cirrhosis, Biliary	phenotype	
Verotoxigenic Escherichia coli gastrointestinal tract infection	phenotype	
Schizophrenia	phenotype	
Insulinoma	phenotype	
Preeclampsia/eclampsia 1	phenotype	
body mass	phenotype	
Premature Birth	phenotype	
Thyroid hormone receptor defect	phenotype	
Alcohol abuse	phenotype	
Sleep Wake Disorders	phenotype	
