rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
110	Acth-Independent Macronodular Adrenal Hyperplasia	C1857451	9	40	4.2667536170881704e-11	2.842377260981912e-05	AVP,FZD4,GIP,GIPR,GNAS,GPBAR1,HTR4,MC2R,POMC
111	Abnormality of the pituitary gland	C0032002	32	645	6.469358382332757e-11	2.8682170542635658e-05	ADCYAP1,ADCYAP1R1,ADM,APOB,AVP,AVPR2,CALCA,CRH,CRHR1,EGF,EGFR,FSHB,FSHR,GCG,GHRH,GHRHR,GNAS,INSL3,LDLR,LHB,LHCGR,MC2R,POMC,PTH,PTHLH,SCT,TSHB,TSHR,VAMP7,VIP,VIPR1,VIPR2
112	Neoplasm of the adrenal gland	C0001624	12	111	7.970302196014245e-11	2.8940568475452195e-05	ADM2,AVPR2,CGA,CRH,FSHR,GIP,GIPR,GNAS,LHCGR,MC2R,POMC,TSHR
113	Alzheimer Disease	C0002395	43	1699	8.822753638781933e-11	2.9198966408268735e-05	ADRB1,ADRB2,ADRB3,AP2A2,APOB,ARRB2,BIN1,CALCR,CHRM2,CRH,DAB2,DNM2,DRD5,EGFR,FSHR,GHRH,GHRHR,GRB2,HTR6,IAPP,IGF2R,ITSN1,LDLR,LHB,LHCGR,LRP2,M6PR,MGST3,NPS,PICALM,PTGDR,PTGER2,PTGER4,PTGIR,PTH,PTH1R,SH3GL2,SLC18A3,SYNJ1,SYT1,TF,UBB,VAMP2
114	Secondary hyperparathyroidism	C0020503	15	182	9.967759950768595e-11	2.9457364341085272e-05	CALCR,CALCRL,EGF,EGFR,GHRHR,GIP,GIPR,GNAS,GRK6,LHCGR,POMC,PTH,PTH1R,TFRC,VIPR1
115	Pheochromocytoma	C0031511	17	259	1.207876021425136e-10	2.971576227390181e-05	ACTR2,ADCYAP1,ADM,CALCA,CALCRL,CRH,EGF,GCG,GCGR,GNAS,HTR4,MC1R,POMC,PTH,RAMP2,SCTR,VIPR1
116	Kidney Failure, Chronic	C0022661	25	616	1.337524535571788e-10	2.997416020671835e-05	ADM,ADRB1,ADRB2,ADRB3,AP2M1,APOB,CRH,CRHR1,CYP2C8,CYP3A4,CYP3A5,DAB2,EGF,GCGR,IAPP,IGF2R,LDLR,LHCGR,LRP2,POMC,PTGER4,PTH,PTH1R,PTHLH,VIPR1
117	Neuroendocrine neoplasm	C0206754	16	252	1.5061041302999456e-10	3.0232558139534883e-05	ADCYAP1R1,CRH,EGF,EGFR,FZD4,GCG,GCGR,GHRH,GIP,GIPR,GNAS,GPBAR1,IAPP,POMC,PTH,PTHLH
119	Migraine Disorders	C0149931	18	333	1.7841206290114542e-10	3.074935400516796e-05	ADCYAP1,ADCYAP1R1,ADRB2,CALCA,CLTA,CYP3A4,DRD5,FSHR,GNAS,HTR4,HTR6,HTR7,LDLR,RAMP1,VIP,VIPR1,VIPR2,WASL
120	Malignant tumor of prostate	C0376358	59	2940	1.9479984292303243e-10	3.1007751937984497e-05	ACTR2,ADCYAP1,ADCYAP1R1,ADM,ARRB2,BIN1,CALCA,CALCR,CGA,CLTC,CRH,CRHR1,CYP3A4,CYP3A5,DAB2,DNM2,EGF,EGFR,FSHB,FSHR,FZD4,GAK,GCG,GHRH,GHRHR,GNAS,HIP1,IAPP,IGF2R,KIAA0319,LDLR,LHB,LHCGR,LRP2,M6PR,MC1R,MC2R,PACSIN2,PIK3C2A,POMC,PTGER2,PTGER4,PTH,PTHLH,RAMP1,REPS1,REPS2,RXFP1,SCARB2,SCTR,STAM2,SYT1,TF,TFRC,VAMP3,VIP,VIPR1,VIPR2,WNT5A
121	Cushing's syndrome	C0010481	7	34	4.6315618007497505e-10	3.126614987080103e-05	CRH,GIP,GIPR,GNAS,LHCGR,MC2R,POMC
122	Bipolar affective disorder	C0005586	27	817	5.320305307421336e-10	3.152454780361757e-05	ADCYAP1,ADCYAP1R1,ADM,ADRB2,APOB,AVP,CALCA,CHRM2,CRH,CRHR1,DRD5,GHRH,HIP1R,HTR4,HTR7,KIAA0319,MC2R,MC5R,POMC,RPS27A,SYNJ1,TSHB,UBC,VAMP2,VAMP3,VAMP7,VIP
123	Pituitary adenoma	C0032000	16	286	5.371298961165394e-10	3.178294573643411e-05	ARRB1,ARRB2,CGA,CRH,CRHR1,EGF,EGFR,FSHB,FSHR,GHRH,GHRHR,GNAS,GRB2,MC2R,POMC,TFRC
125	Essential hypertension	C0085580	16	305	1.4041737772529927e-09	3.229974160206718e-05	ADM,ADRB1,ADRB2,ADRB3,APOB,CALCA,CALCRL,CYP3A5,DNM2,FSHR,GCGR,GNAS,LDLR,POMC,PTH,VIP
126	Adrenocortical carcinoma	C0206686	12	160	1.4099684753077213e-09	3.2558139534883724e-05	ADM,EGF,EGFR,GHRHR,GIPR,HTR7,IGF2R,LHCGR,MC2R,POMC,SH3KBP1,VIP
127	Adenomas, multiple colorectal, 608456 (3)	C0001430	29	975	1.4291564598423179e-09	3.281653746770026e-05	ADORA2B,ARRB1,CALCA,CGA,CRH,CRHR1,CYP2C8,DNM2,EGF,EGFR,GHRH,GHRHR,GIP,GNAS,HGS,HTR4,IGF2R,INSL3,LHCGR,MC2R,POMC,PTGER2,PTGER4,PTH,PTHLH,SCTR,TFRC,TRIP10,TSHR
128	Acute-Phase Reaction	C0001349	6	26	1.8460195594371953e-09	3.307493540051679e-05	MC1R,MC2R,MC3R,MC5R,TF,TFRC
129	Hypertension	C0020538	39	1647	1.999135079699954e-09	3.3333333333333335e-05	ADM,ADORA2B,ADRB1,ADRB2,ADRB3,APOB,AVP,AVPR2,CALCA,CALCRL,CRHR1,CYP2C8,CYP3A4,CYP3A5,DNM2,EGF,EGFR,FSHR,GCG,GCGR,GNAS,GPR83,HGS,HTR4,IAPP,LDLR,LDLRAP1,LHB,LRP2,M6PR,MC2R,MC3R,MGST3,POMC,PTGER4,PTH,RAMP1,RAMP2,SCARB2
130	Medullary thyroid carcinoma	C0238462	13	201	2.392304687681701e-09	3.359173126614987e-05	CALCA,CALCB,CALCR,EGF,EGFR,IAPP,INSL3,POMC,PTH,RAMP1,RXFP1,RXFP2,TSHR
131	Mood Disorders	C0525045	16	322	3.0857786326166092e-09	3.385012919896641e-05	ADRB1,ADRB2,ADRB3,ARRB2,AVP,CALCA,CHRM2,CRH,CRHR1,DRD5,HIP1R,HTR4,HTR6,HTR7,TGOLN2,VAMP7
132	Breast-ovarian cancer, familial 1	C0006142	74	4543	3.193968978187911e-09	3.4108527131782945e-05	ADM,ADRB1,ADRB2,ADRB3,AGFG1,AMPH,AP2A1,APOB,ARRB1,ARRB2,AVP,BIN1,CALCA,CALCR,CD3D,CD4,CGA,CLTC,CRH,CRHR1,CTTN,CYP2C8,CYP3A4,CYP3A5,DAB2,DNAJC6,DNM2,DRD5,DVL2,EGF,EGFR,FNBP1L,FSHB,FSHR,GCG,GHRH,GHRHR,GNAS,GRB2,IAPP,IGF2R,KIAA0319,LDLR,LHB,LHCGR,LRP2,MC1R,MC2R,MC3R,PICALM,POMC,PTGER4,PTGIR,PTH,PTH1R,PTHLH,RAB5A,REPS2,RLN2,RPS27A,SH3GL2,SH3KBP1,SNX9,SYNJ2,SYT1,TF,TFRC,TRIP10,UBC,VAMP7,VIP,VIPR1,WASL,WNT5A
133	Pseudohypoparathyroidism, Type Ia	C3494506	6	28	3.197405673560638e-09	3.436692506459949e-05	CALCA,GHRH,GNAS,PTH,PTHLH,VIP
139	Hyperparathyroidism 4	C0020502	8	68	6.679575448309549e-09	3.591731266149871e-05	AP2S1,CALCA,EGFR,GNAS,OCRL,PTH,PTH1R,PTHLH
140	Prostate carcinoma	C0600139	52	2734	8.367503245843011e-09	3.617571059431524e-05	ACTR2,ADCYAP1,ADCYAP1R1,ADM,ARRB2,BIN1,CALCA,CALCR,CGA,CLTC,CRH,CRHR1,CYP3A4,CYP3A5,DAB2,DNM2,EGF,EGFR,FZD4,GAK,GCG,GHRH,GHRHR,GNAS,HIP1,IAPP,IGF2R,INSL3,KIAA0319,LHCGR,LRP2,M6PR,MC1R,PTGER2,PTGER4,PTH,PTHLH,RAMP1,REPS1,REPS2,RXFP1,RXFP2,SCARB2,SCTR,SYT1,TF,TFRC,VAMP3,VIP,VIPR1,VIPR2,WNT5A
142	Breast carcinoma	C0678222	69	4281	2.0487636254173935e-08	3.669250645994832e-05	ADM,ADRB1,ADRB2,ADRB3,AGFG1,AMPH,AP2A1,APOB,ARRB1,ARRB2,AVP,BIN1,CALCA,CALCR,CD3D,CGA,CLTC,CRH,CRHR1,CTTN,CYP2C8,CYP3A4,CYP3A5,DAB2,DNAJC6,DNM2,DRD5,DVL2,EGF,EGFR,FNBP1L,GCG,GHRH,GHRHR,GNAS,GRB2,IAPP,IGF2R,KIAA0319,LDLR,LHB,LHCGR,LRP2,MC1R,MC3R,POMC,PTGER4,PTGIR,PTH,PTH1R,PTHLH,RAB5A,REPS2,RLN2,RPS27A,SH3GL2,SH3KBP1,SNX9,SYNJ2,SYT1,TF,TFRC,TRIP10,UBC,VAMP7,VIP,VIPR1,WASL,WNT5A
147	Heart Failure	C0018801	24	803	2.87139900745359e-08	3.7984496124031005e-05	ADM,ADRB1,ADRB2,ADRB3,ARRB1,ARRB2,AVP,AVPR2,BIN1,CALCR,CTTN,DNM2,EGFR,FZD4,GCG,GPBAR1,HTR4,POMC,PTH,PTHLH,RAMP2,SCARB2,SH3GL2,TFRC
148	Asthma	C0004096	34	1454	2.885179251066461e-08	3.824289405684755e-05	ADCYAP1R1,ADM,ADORA2B,ADRB2,CALCA,CHRM2,CRH,CRHR1,CTTN,CYP3A4,EGF,EGFR,FZD4,GHRH,GNAS,GNB1,GPBAR1,LDLR,NPS,NPSR1,POMC,PTGDR,PTGER2,PTGER4,PTGIR,PTH,RAB5A,RAMP1,SCARB2,SLC18A3,SNX9,SYT1,TF,VIP
149	Diabetes mellitus type 2	C0011860	41	1972	3.212039600963834e-08	3.850129198966408e-05	ADCYAP1,ADM,ADORA2B,ADRB1,ADRB2,ADRB3,APOB,ARRB2,AVP,CALCA,CBL,CD4,CRHR1,CYP2C8,CYP3A4,CYP3A5,EGF,EGFR,FZD4,GCG,GCGR,GIP,GIPR,GPBAR1,GPR20,GRB2,IAPP,IGF2R,LDLR,MC2R,MC3R,MC5R,MGST3,PIK3C2A,POMC,PTGER4,PTH,TF,TFRC,VAMP2,VAMP3
150	Neuroblastoma	C0700095	36	1612	3.739531162505472e-08	3.875968992248062e-05	ADCYAP1,ADCYAP1R1,ADM,ADRB2,AVP,BIN1,CALCA,CALCR,CGA,CRH,CYP3A4,CYP3A5,EGF,EGFR,GCG,GNAS,GRB2,HGS,ITSN1,KIAA0319,LDLR,LRP2,MGST1,PTGDR,PTGER2,PTGER4,PTHLH,SCT,SYNJ1,SYT1,TFRC,TSHR,UBB,VIP,VIPR1,VIPR2
151	Anxiety Disorders	C0003469	16	383	3.871648579512055e-08	3.901808785529716e-05	ADCYAP1,ADCYAP1R1,ADRB2,ARRB2,AVP,CRH,CRHR1,CYP3A4,GHRH,GNB1,HTR6,HTR7,MC1R,NPS,NPSR1,POMC
152	Hyperlipidemia, combined, 1	C0020473	14	293	3.925196023768507e-08	3.9276485788113696e-05	ADM,ADRB1,ADRB2,ADRB3,APOB,CYP2C8,CYP3A4,CYP3A5,FSHR,GCG,LDLR,LDLRAP1,LRP2,PTH
153	Hypercholesterolemia, autosomal dominant, type B	C0020443	12	212	3.9784772254414236e-08	3.953488372093023e-05	ADRB2,APOB,AVP,CALCR,CYP3A4,CYP3A5,DAB2,LDLR,LDLRAP1,LRP2,OCRL,PICALM
154	Hyperplasia	C0020507	10	143	4.492811478407077e-08	3.979328165374677e-05	EGFR,GNAS,HTR4,INSL3,LDLR,LHCGR,POMC,PTGIR,RLN2,RLN3
155	Cholera	C0008354	8	86	5.411542203237474e-08	4.0051679586563307e-05	APOB,EGF,EGFR,LHCGR,POMC,PTH,PTHLH,VIP
156	Pseudohypoparathyroidism, type IB, 603233 (3)	C1864100	5	25	5.663168323177814e-08	4.0310077519379843e-05	GHRH,GNAS,PTH,PTH1R,PTHLH
157	Schizophrenia	C0036341	40	1947	6.593423251821662e-08	4.056847545219639e-05	ACTR2,ADCYAP1,ADCYAP1R1,ADM,ADRB3,APOB,ARRB2,AVP,CHRM2,CLTB,CRH,CRHR1,CYP3A4,CYP3A5,DNAJC6,DNM2,DRD5,EGF,GIPR,GNAS,GNB1,GRB2,HRH2,HTR4,HTR6,HTR7,KIAA0319,MC2R,MC5R,NPS,NPSR1,PIK3C2A,POMC,SH3GL2,STON2,TAAR1,TF,VAMP2,VIP,VIPR2
158	Delayed puberty	C0034012	11	186	7.673507362859766e-08	4.082687338501292e-05	CRH,FSHB,FSHR,GHRH,IGF2R,LHB,LHCGR,OCRL,POMC,SCARB2,VAMP7
165	Alcohol dependence	C0001973	21	675	9.338321971252839e-08	4.263565891472868e-05	ADRB2,AP2B1,AVP,CALCA,CHRM2,CRH,CRHR1,DAB2,EGF,FSHB,GNAS,HIP1,HTR7,KIAA0319,LHB,LRP2,POMC,SGIP1,STON2,TF,TGOLN2
166	Liver Cirrhosis, Biliary	C0023890	25	919	9.890732910466937e-08	4.2894056847545225e-05	ADM,ADRB1,ADRB2,ADRB3,APOB,ARRB2,AVP,CYP3A4,CYP3A5,EGF,EGFR,GCG,IGF2R,POMC,PTH,RAMP2,RPS27A,RXFP1,RXFP2,SCARB2,STAM,SYT1,TF,TFRC,VIPR1
167	Bone necrosis	C0029445	6	45	1.048854544327682e-07	4.3152454780361756e-05	APOB,CYP2C8,CYP3A4,PTH,PTH1R,TF
168	Pituitary corticotropic cell adenoma	C1306214	6	45	1.048854544327682e-07	4.341085271317829e-05	CRHR1,EGFR,GHRH,GNAS,MC2R,POMC
169	Prostatic Neoplasms	C0033578	35	1606	1.0550831008870887e-07	4.3669250645994836e-05	ADCYAP1,ADCYAP1R1,ADM,ADRB2,ARRB2,BIN1,CALCA,CALCR,CBL,CGA,CYP3A4,CYP3A5,DAB2,EGF,EGFR,GHRH,GHRHR,GNAS,HIP1,IGF2R,LHB,LRP2,M6PR,MC2R,PTGER2,PTGER4,PTHLH,REPS2,RLN2,RPS27A,SYNJ2,VAMP8,VIP,VIPR1,WNT5A
170	Disorder of endocrine system	C0014130	7	68	1.2000776494769383e-07	4.3927648578811366e-05	CALCA,CALCR,CRH,GNAS,POMC,PTH,TSHR
171	Pain	C0030193	20	628	1.2144470384889416e-07	4.418604651162791e-05	ADM,ADRB2,APOB,AVP,CALCA,CLTC,CLTCL1,CRH,FSHR,GNAS,HTR7,LDLR,LDLRAP1,MC1R,POMC,PTH,PTH1R,SCARB2,SLC18A3,VIP
173	Alcohol abuse	C0085762	8	95	1.2928387493893467e-07	4.470284237726098e-05	AVP,CHRM2,CRHR1,CYP3A4,EGFR,HTR7,LDLR,POMC
174	Squamous Cell Neoplasms	C0206720	5	29	1.4745593535092638e-07	4.496124031007752e-05	CYP3A4,CYP3A5,EGF,EGFR,PTH
175	Pituitary dependent hypercortisolism	C0221406	5	29	1.4745593535092638e-07	4.521963824289406e-05	EGF,EGFR,GNAS,MC2R,POMC
177	Pseudohypoparathyroidism type 1A	C0033806	5	30	1.8298714643538716e-07	4.573643410852713e-05	CALCA,GHRH,GNAS,PTH,PTHLH
178	Female infertility	C0021361	7	72	1.886758627112073e-07	4.5994832041343674e-05	ADRB2,ADRB3,FSHB,FSHR,LHB,LHCGR,TSHR
179	Inflammation	C0021368	20	647	1.988865774293913e-07	4.6253229974160205e-05	ADCYAP1,ADM,ADRB2,ADRB3,APOB,BIN1,CALCA,CHRM2,CRH,CRHR1,CYP3A4,EGF,EGFR,POMC,PTGER2,PTGER4,TF,TFRC,TSHR,VIP
180	Obesity, severe, 601665 (3)	C0028756	9	131	1.9997352251888145e-07	4.651162790697674e-05	ADRB1,ADRB2,ADRB3,GNAS,LDLR,MC2R,MC3R,MC5R,POMC
181	Animal Mammary Neoplasms	C0024667	44	2352	2.1528511706669917e-07	4.6770025839793285e-05	ADM,ADORA2B,AGFG1,AP2A1,APOB,BIN1,CD4,CGA,CRH,CRHR1,CTTN,CYP2C8,CYP3A4,CYP3A5,DAB2,DNM2,EGF,EGFR,FNBP1L,GHRH,GRB2,HIP1,IGF2R,LHB,LHCGR,PTGER2,PTGER4,PTH1R,PTHLH,REPS1,REPS2,SH3GL2,SH3KBP1,SNX9,SYNJ2,SYT1,TF,TFRC,TRIP10,TSHR,VAMP8,VIP,WASL,WNT5A
185	Anorexia nervosa 1	C0003125	8	107	3.6099257305632904e-07	4.780361757105943e-05	ADRB3,CRH,GCG,HTR7,LDLR,LRP2,MC3R,POMC
186	Hyperalgesia	C0020429	10	177	3.930866718793169e-07	4.806201550387597e-05	ADM,ADRB1,AVP,CALCA,CRH,HTR7,MC1R,PTGER4,PTHLH,VIP
187	Malignant neoplasm of pancreas	C0346647	34	1625	4.187561580826227e-07	4.8320413436692506e-05	ACTR2,ADM,ADRB2,ADRB3,AP2A1,ARPC1A,AVP,CALCRL,CBL,CLTC,CTTN,DAB2,DNM2,EGF,EGFR,GCG,GHRH,IAPP,IGF2R,KIAA0319,LRP2,PTGER4,PTH,PTHLH,RAMP3,REPS1,SCT,SCTR,SYT1,SYT9,TF,TFRC,VIP,WNT5A
188	Benign melanocytic nevus	C1456781	7	80	4.308456027501961e-07	4.857881136950904e-05	CGA,CRH,EGF,EGFR,LRP2,MC1R,POMC
190	Increased analgesia from kappa-opioid receptor agonist, female-specific	C0205217	7	81	4.7452904217148983e-07	4.9095607235142123e-05	FSHR,GNAS,LDLRAP1,LHCGR,MC1R,MC2R,VAMP7
191	Obesity	C0028754	41	2181	5.034411443283204e-07	4.9354005167958653e-05	ADM,ADRB1,ADRB2,ADRB3,APOB,CALCA,CALCRL,CHRM2,CRH,CRHR1,CYP3A4,DNAJC6,EGF,EGFR,FSHR,FZD4,GCG,GCGR,GHRH,GIP,GIPR,GNAS,GPBAR1,GPR83,IAPP,IGF2R,LDLR,LHCGR,LRP2,MC1R,MC3R,MC5R,P2RY11,PICALM,POMC,RAMP2,SGIP1,TF,TFRC,VIP,WNT5A
192	Osteomalacia	C0029442	5	36	5.750114294711395e-07	4.96124031007752e-05	AVPR2,CYP3A4,LRP2,OCRL,PTH
193	Ovarian Neoplasms	C0919267	24	942	5.801592378729126e-07	4.9870801033591734e-05	ACTR2,ACTR3,ADM,CALCA,CALCR,CGA,CRH,CRHR1,CTTN,CYP3A4,CYP3A5,DAB2,EGF,EGFR,FSHR,GHRH,GPR150,GRB2,IGF2R,INSL3,LHCGR,POMC,PTGER2,VAMP7
199	Renal Insufficiency, Chronic	C0035078	14	363	6.184766139227804e-07	5.142118863049096e-05	ADCYAP1,ADM,ADRB2,CRH,EGF,EGFR,GHRH,LDLR,OCRL,PTH,PTH1R,PTHLH,SCARB2,SCT
203	Tachycardia	C3827868	9	149	6.621697571373986e-07	5.24547803617571e-05	ADRB1,ADRB2,GCG,GNAS,HTR4,LHB,SCT,TSHR,VIP
204	Metabolic Syndrome X	C0524620	19	638	6.775351977239552e-07	5.2713178294573646e-05	ADCYAP1,ADM,ADRB1,ADRB2,ADRB3,APOB,CYP3A4,FSHR,GCG,GIP,GIPR,IGF2R,LDLR,LRP2,MC3R,POMC,SYT1,VIP,VIPR2
205	Lung Neoplasms	C0024121	27	1155	7.103671443298154e-07	5.297157622739018e-05	ADCYAP1,ADCYAP1R1,ADM,ADRB2,AMPH,ARRB1,AVP,CALCA,CYP3A4,CYP3A5,DAB2,DVL2,EGF,EGFR,EPS15,IGF2R,MGST1,POMC,PTGDR,PTGER2,PTGER4,PTHLH,RAMP2,TF,TFRC,TSHR,WNT5A
206	Attention deficit hyperactivity disorder	C1263846	17	527	7.436463529408854e-07	5.322997416020671e-05	ADRB1,ADRB2,ARRB2,CLTA,DAB2,DRD5,HTR4,KIAA0319,LHCGR,NPSR1,OCRL,POMC,PTGER4,PTHLH,SYT1,SYT2,VAMP2
207	Osteoporosis	C0029456	19	642	7.46395597217564e-07	5.348837209302326e-05	CALCA,CALCR,CRHR1,CYP3A4,FSHR,GHRH,GHRHR,GNAS,INSL3,LDLR,MGST3,POMC,PTGER4,PTH,PTH1R,PTH2R,PTHLH,RXFP2,VAMP7
209	Carcinoid tumor no ICD-O subtype	C0334299	7	87	8.250523966246703e-07	5.400516795865633e-05	CALCA,EGF,EGFR,GHRH,POMC,PTH,PTHLH
210	Polycystic Ovary Syndrome	C0032460	16	477	8.548717448375598e-07	5.426356589147287e-05	ADRB2,ADRB3,APOB,FSHB,FSHR,GHRH,GNAS,IGF2R,INSL3,LHB,LHCGR,POMC,PTH,SCT,TFRC,WNT5A
211	Adrenocortical adenoma	C0206667	7	89	9.826952187541593e-07	5.452196382428941e-05	ADM,AVP,EGFR,GIP,GIPR,MC2R,POMC
212	Pancreatic Carcinoma	C0235974	34	1690	1.0375382478722273e-06	5.478036175710594e-05	ACTR2,ADCYAP1,ADM,ADRB2,ADRB3,AP2A1,ARPC1A,AVP,CALCRL,CBL,CLTC,CTTN,DNM2,EGF,EGFR,FZD4,GCG,GPBAR1,IAPP,IGF2R,LRP2,POMC,PTGER4,PTH,PTHLH,RAMP3,REPS1,SCT,SCTR,SYT1,SYT9,TF,TFRC,WNT5A
215	Insulinoma	C0021670	9	157	1.0696822724254318e-06	5.555555555555555e-05	ADCYAP1,CALCA,CRHR1,EGF,GCG,GCGR,GIP,IAPP,PTHLH
216	Verotoxigenic Escherichia coli gastrointestinal tract infection	C0009450	26	1111	1.0901401068519334e-06	5.5813953488372095e-05	ADM,ADRB2,APOB,CALCA,CBL,CD4,CRH,CRHR1,CTTN,DNM2,EGFR,HRH2,IGF2R,LDLR,M6PR,POMC,PTGER2,PTGER4,PTH1R,PTHLH,SH3KBP1,SYT1,TSHR,VIP,VIPR1,WNT5A
217	Congestive heart failure	C0018802	21	782	1.1172261695779895e-06	5.607235142118863e-05	ADM,ADM2,ADRB1,ADRB2,ADRB3,ARRB1,ARRB2,AVP,AVPR2,BIN1,CALCR,CTTN,DNM2,EGFR,FZD4,GPBAR1,HTR4,POMC,SCARB2,TF,TFRC
218	Stress, Psychological	C0038443	6	63	1.1216155374471626e-06	5.633074935400517e-05	ADCYAP1R1,ADRB1,ADRB2,AVP,CRH,CRHR1
219	Adrenal hyperplasia	C0342492	6	63	1.1216155374471626e-06	5.6589147286821706e-05	CRH,CYP3A4,GIP,GNAS,MC2R,POMC
220	Rhabdomyosarcoma alveolar	C0035412	14	381	1.1323378483751867e-06	5.684754521963824e-05	AP2A1,ARPC5,ARRB1,CLTC,CLTCL1,EGF,EGFR,IAPP,MC1R,PTH,PTHLH,SYNJ1,SYT1,TFRC
221	Major depressive disorder	C1269683	16	489	1.200288457847698e-06	5.710594315245478e-05	ADCYAP1,ADCYAP1R1,ADRB1,ADRB3,AVP,CHRM2,CRH,CRHR1,EGF,EGFR,HTR4,HTR6,M6PR,MC2R,POMC,VAMP2
222	Ovarian Failure, Premature	C0085215	10	199	1.2543189976677027e-06	5.7364341085271316e-05	CYP3A4,CYP3A5,FSHB,FSHR,GHRH,IGF2R,LHB,LHCGR,POMC,TSHB
223	Mental disorders	C0004936	15	439	1.3564341164729043e-06	5.762273901808786e-05	ADCYAP1,ADCYAP1R1,CALCA,CHRM2,CRH,CRHR1,DRD5,FZD4,GPBAR1,HTR7,KIAA0319,POMC,PTH,SCT,VIP
224	Irritable bowel syndrome with diarrhea	C0022104	9	162	1.4233901401983218e-06	5.788113695090439e-05	CRH,CRHR1,GCG,GPBAR1,HTR4,HTR7,NPSR1,POMC,VIP
225	body mass	C0518010	7	94	1.493210347702778e-06	5.8139534883720933e-05	ADRB1,ADRB2,ADRB3,CALCR,GCGR,IAPP,POMC
226	{Unipolar depression, susceptibility to}, 608516 (3)	C0011570	17	555	1.5529516375067942e-06	5.839793281653747e-05	ADCYAP1R1,ADRB2,AP2B1,APOB,AVP,CHRM2,CRH,CRHR1,DVL2,EGFR,FSHR,HGS,HTR4,HTR6,HTR7,POMC,TF
227	Sleep Wake Disorders	C0851578	7	95	1.6186034158538476e-06	5.8656330749354e-05	ADRB2,ADRB3,CRH,GHRH,GHRHR,HTR7,POMC
231	Thyroid hormone receptor defect	C2940786	4	25	2.0216247477167215e-06	5.9689922480620155e-05	GHRH,GNAS,PTH,TSHR
232	Neoplasm of the colon	C0009375	21	817	2.28041572714055e-06	5.99483204134367e-05	ADCYAP1,ADCYAP1R1,ADM,ADRB3,BIN1,CALCA,CTTN,EGF,EGFR,GCG,GNAS,HIP1,HRH2,POMC,PTH,PTH1R,PTHLH,SH3KBP1,SNX9,SYT1,WNT5A
233	Anorexia	C0003123	8	134	2.4062734244045814e-06	6.020671834625323e-05	AVPR2,CRH,CRHR1,HTR4,IAPP,NPSR1,POMC,SCARB2
234	Abdominal obesity	C0311277	8	134	2.4062734244045814e-06	6.0465116279069765e-05	ADRB2,ADRB3,APOB,GIP,GNAS,LDLR,POMC,TFRC
235	Hyperglycemia	C0020456	15	459	2.4099950793887714e-06	6.072351421188631e-05	ADM,ADORA2B,ADRB1,ADRB3,APOB,AVP,GCG,GCGR,GIP,GIPR,IAPP,POMC,PTH,SYT1,TFRC
245	Recurrent major depressive episodes	C0154409	4	26	2.4855810397683697e-06	6.330749354005168e-05	AVP,CHRM2,CRH,CRHR1
246	Chronic Fatigue Syndrome	C0015674	5	46	2.574668026111837e-06	6.356589147286821e-05	CRHR1,HTR4,HTR6,HTR7,POMC
247	Diabetes Mellitus, Type 1	C0011849	38	2081	2.6943157781511573e-06	6.382428940568475e-05	ADCYAP1,ADM,ADORA2B,ADRB1,ADRB2,ADRB3,AGFG1,APOB,AVP,CALCA,CHRM2,CRH,CYP3A4,CYP3A5,DNM2,EGFR,GCG,GCGR,GHRH,GHRHR,GIP,GIPR,GNAS,GPBAR1,IAPP,INSL3,LDLR,LRP2,MC3R,POMC,PTGER4,PTH,PTHLH,RAMP2,SYT1,TF,TFRC,VAMP4
248	Melanocytic nevus of skin	C3665593	5	47	2.930527114974879e-06	6.40826873385013e-05	CRH,EGF,LRP2,MC1R,POMC
249	Congenital adrenal hyperplasia	C0001627	6	74	3.3689703506922797e-06	6.434108527131784e-05	AVPR2,CRH,GIP,HTR4,MC2R,POMC
254	Adrenal Gland Hyperfunction	C0001622	4	28	3.6622129787611257e-06	6.563307493540052e-05	EGF,EGFR,MC2R,POMC
255	Hyperthyroidism	C0020550	8	141	3.6645271015434133e-06	6.589147286821706e-05	ADRB2,APOB,GNAS,LDLR,PTH,SYT1,TSHB,TSHR
256	Abnormality of skeletal maturation	C4025818	11	268	3.7207594533184007e-06	6.614987080103358e-05	FSHB,FSHR,GHRHR,LHCGR,MC2R,POMC,PTH1R,SCARB2,TSHR,VAMP7,WNT5A
