Gene	CUI	Phenotype	Source Databases	
ACE	C0598428	genetic hypertension	DisGeNet	
AGT	C0598428	genetic hypertension	DisGeNet	
REN	C0598428	genetic hypertension	DisGeNet	
ACE	C0029899	Otosclerosis	DisGeNet	
AGT	C0029899	Otosclerosis	DisGeNet	
REN	C0029899	Otosclerosis	DisGeNet	
ACE	C3693260	Abnormal urine output	HumPhenOnt	
AGT	C3693260	Abnormal urine output	HumPhenOnt	
REN	C3693260	Abnormal urine output	HumPhenOnt	
ACE	C0546817	Hypervolemia	DisGeNet	
AGT	C0546817	Hypervolemia	DisGeNet	
REN	C0546817	Hypervolemia	DisGeNet	
ACE	C4023579	Abnormality of renal excretion	HumPhenOnt	
AGT	C4023579	Abnormality of renal excretion	HumPhenOnt	
REN	C4023579	Abnormality of renal excretion	HumPhenOnt	
ACE	C0027719	Nephrosclerosis	DisGeNet	
AGT	C0027719	Nephrosclerosis	DisGeNet	
REN	C0027719	Nephrosclerosis	DisGeNet	
ACE	C0010072	Coronary Thrombosis	DisGeNet	
AGT	C0010072	Coronary Thrombosis	DisGeNet	
REN	C0010072	Coronary Thrombosis	DisGeNet	
ACE	C0042514	Ventricular tachycardia, catecholaminergic polymorphic, 2	DisGeNet	
AGT	C0042514	Ventricular tachycardia, catecholaminergic polymorphic, 2	DisGeNet	
REN	C0042514	Ventricular tachycardia, catecholaminergic polymorphic, 2	DisGeNet	
ACE	C0333497	Focal segmental glomerulosclerosis 1	DisGeNet	
AGT	C0333497	Focal segmental glomerulosclerosis 1	DisGeNet	
REN	C0333497	Focal segmental glomerulosclerosis 1	DisGeNet	
ACE	C0020545	Renovascular hypertension	DisGeNet	
AGT	C0020545	Renovascular hypertension	DisGeNet	
REN	C0020545	Renovascular hypertension	DisGeNet	
ACE	C0027720	Nephrosis	DisGeNet	
AGT	C0027720	Nephrosis	DisGeNet	
REN	C0027720	Nephrosis	DisGeNet	
ACE	C0853897	Diabetic Cardiomyopathies	DisGeNet	
AGT	C0853897	Diabetic Cardiomyopathies	DisGeNet	
REN	C0853897	Diabetic Cardiomyopathies	DisGeNet	
ACE	C0034152	Henoch-Schoenlein Purpura	DisGeNet	
AGT	C0034152	Henoch-Schoenlein Purpura	DisGeNet	
REN	C0034152	Henoch-Schoenlein Purpura	DisGeNet	
ACE	C0751674	Lymphangiomyomatosis	DisGeNet	
AGT	C0751674	Lymphangiomyomatosis	DisGeNet	
REN	C0751674	Lymphangiomyomatosis	DisGeNet	
ACE	C3542024	Aortic valve disease 2	DisGeNet	
AGT	C3542024	Aortic valve disease 2	DisGeNet	
REN	C3542024	Aortic valve disease 2	DisGeNet	
ACE	C0019061	Hemolytic uremic syndrome	DisGeNet	
AGT	C0019061	Hemolytic uremic syndrome	DisGeNet	
REN	C0019061	Hemolytic uremic syndrome	DisGeNet	
ACE	C0235831	Renal dysplasia	ClinVar	
AGT	C0235831	Renal dysplasia	ClinVar	
REN	C0235831	Renal dysplasia	ClinVar,DisGeNet	
ACE	C0730345	Microalbuminuria	DisGeNet	
AGT	C0730345	Microalbuminuria	DisGeNet	
REN	C0730345	Microalbuminuria	DisGeNet	
ACE	C1397307	Cardiac fibrosis	DisGeNet	
AGT	C1397307	Cardiac fibrosis	DisGeNet	
REN	C1397307	Cardiac fibrosis	DisGeNet	
ACE	C0041948	Uremia	DisGeNet	
AGT	C0041948	Uremia	DisGeNet	
REN	C0041948	Uremia	DisGeNet	
ACE	C4021826	Abnormality of the renal tubule	HumPhenOnt	
AGT	C4021826	Abnormality of the renal tubule	HumPhenOnt	
REN	C4021826	Abnormality of the renal tubule	HumPhenOnt	
ACE	C0751955	Brain Infarction	DisGeNet	
AGT	C0751955	Brain Infarction	DisGeNet	
REN	C0751955	Brain Infarction	DisGeNet	
ACE	C0242231	Coronary artery stenosis	DisGeNet	
AGT	C0242231	Coronary artery stenosis	DisGeNet	
REN	C0242231	Coronary artery stenosis	DisGeNet	
ACE	C0017665	Membranous nephropathy, susceptibility to	DisGeNet	
AGT	C0017665	Membranous nephropathy, susceptibility to	DisGeNet	
REN	C0017665	Membranous nephropathy, susceptibility to	DisGeNet	
ACE	C0026267	Mitral Valve Prolapse	DisGeNet	
AGT	C0026267	Mitral Valve Prolapse	DisGeNet	
REN	C0026267	Mitral Valve Prolapse	DisGeNet	
ACE	C0264716	Chronic heart failure	DisGeNet	
AGT	C0264716	Chronic heart failure	DisGeNet	
REN	C0264716	Chronic heart failure	DisGeNet	
ACE	C0265783	Pulmonary hypoplasia	HumPhenOnt	
AGT	C0265783	Pulmonary hypoplasia	HumPhenOnt	
REN	C0265783	Pulmonary hypoplasia	DisGeNet,HumPhenOnt	
ACE	C0011875	Diabetic Angiopathies	DisGeNet	
AGT	C0011875	Diabetic Angiopathies	DisGeNet	
REN	C0011875	Diabetic Angiopathies	DisGeNet	
ACE	C0026266	Mitral regurgitation	DisGeNet	
AGT	C0026266	Mitral regurgitation	DisGeNet	
REN	C0026266	Mitral regurgitation	DisGeNet	
ACE	C0079924	Oligohydramnios	HumPhenOnt	
AGT	C0079924	Oligohydramnios	HumPhenOnt	
REN	C0079924	Oligohydramnios	HumPhenOnt	
ACE	C4024996	Aplasia/Hypoplasia of the lungs	HumPhenOnt	
AGT	C4024996	Aplasia/Hypoplasia of the lungs	HumPhenOnt	
REN	C4024996	Aplasia/Hypoplasia of the lungs	HumPhenOnt	
ACE	C0002965	Angina, Unstable	DisGeNet	
AGT	C0002965	Angina, Unstable	DisGeNet	
REN	C0002965	Angina, Unstable	DisGeNet	
ACE	C0003504	Aortic regurgitation	DisGeNet	
AGT	C0003504	Aortic regurgitation	DisGeNet	
REN	C0003504	Aortic regurgitation	DisGeNet	
ACE	C3887486	Interstitial fibrosis	DisGeNet	
AGT	C3887486	Interstitial fibrosis	DisGeNet	
REN	C3887486	Interstitial fibrosis	DisGeNet	
ACE	C0001339	Acute pancreatitis	DisGeNet	
AGT	C0001339	Acute pancreatitis	DisGeNet	
REN	C0001339	Acute pancreatitis	DisGeNet	
ACE	C0178664	Glomerulosclerosis, Focal Segmental	DisGeNet	
AGT	C0178664	Glomerulosclerosis, Focal Segmental	DisGeNet	
REN	C0178664	Glomerulosclerosis, Focal Segmental	DisGeNet,HumPhenOnt	
ACE	C0577631	Carotid Atherosclerosis	DisGeNet	
AGT	C0577631	Carotid Atherosclerosis	DisGeNet	
REN	C0577631	Carotid Atherosclerosis	DisGeNet	
ACE	C0020541	Portal hypertension, noncirrhotic	DisGeNet	
AGT	C0020541	Portal hypertension, noncirrhotic	DisGeNet	
REN	C0020541	Portal hypertension, noncirrhotic	DisGeNet	
ACE	C0340100	High altitude pulmonary edema	DisGeNet	
REN	C0340100	High altitude pulmonary edema	DisGeNet	
ACE	C0007766	Intracranial Aneurysm	DisGeNet	
AGT	C0007766	Intracranial Aneurysm	DisGeNet	
REN	C0007766	Intracranial Aneurysm	DisGeNet	
