Gene	CUI	Phenotype	Source Databases	
B9D1	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
B9D2	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
BUB1B	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	DisGeNet,HumPhenOnt	
BUB3	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
CC2D2A	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
CEP290	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
CEP57	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
HRAS	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
KRAS	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
MKS1	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	DisGeNet,HumPhenOnt	
NRAS	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
OFD1	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
RPGRIP1L	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
TCTN2	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
TMEM216	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
TMEM67	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
TUBB	C0010964	Dandy-Walker like malformation with atrioventricular septal defect	HumPhenOnt	
B9D1	C0266631	Accessory spleen	HumPhenOnt	
B9D2	C0266631	Accessory spleen	HumPhenOnt	
CC2D2A	C0266631	Accessory spleen	HumPhenOnt	
CEP290	C0266631	Accessory spleen	HumPhenOnt	
MKS1	C0266631	Accessory spleen	HumPhenOnt	
RPGRIP1L	C0266631	Accessory spleen	HumPhenOnt	
TCTN2	C0266631	Accessory spleen	HumPhenOnt	
TMEM216	C0266631	Accessory spleen	HumPhenOnt	
TMEM67	C0266631	Accessory spleen	HumPhenOnt	
B9D1	C0267952	Pancreatic fibrosis	HumPhenOnt	
B9D2	C0267952	Pancreatic fibrosis	HumPhenOnt	
CC2D2A	C0267952	Pancreatic fibrosis	HumPhenOnt	
CEP290	C0267952	Pancreatic fibrosis	HumPhenOnt	
MKS1	C0267952	Pancreatic fibrosis	HumPhenOnt	
RPGRIP1L	C0267952	Pancreatic fibrosis	HumPhenOnt	
TCTN2	C0267952	Pancreatic fibrosis	HumPhenOnt	
TMEM216	C0267952	Pancreatic fibrosis	HumPhenOnt	
