node1	node2	edge_score	
DB05383	AKR1B1	1.0	
DB05383	TIMP3	1.0	
AKR1B1		1
TIMP3		1
Adenomas, multiple colorectal, 608456 (3)	AKR1B1	1.0	
Adenomas, multiple colorectal, 608456 (3)	TIMP3	1.0	
Arteriosclerosis	AKR1B1	1.0	
Arteriosclerosis	TIMP3	1.0	
Asthma	AKR1B1	1.0	
Asthma	TIMP3	1.0	
Atherosclerosis	AKR1B1	1.0	
Atherosclerosis	TIMP3	1.0	
Breast-ovarian cancer, familial 1	AKR1B1	1.0	
Breast-ovarian cancer, familial 1	TIMP3	1.0	
Colon cancer	AKR1B1	1.0	
Colon cancer	TIMP3	1.0	
Malignant tumor of cervix	AKR1B1	1.0	
Malignant tumor of cervix	TIMP3	1.0	
Diabetes Mellitus, Type 1	AKR1B1	1.0	
Diabetes Mellitus, Type 1	TIMP3	1.0	
Diabetes mellitus type 1	AKR1B1	1.0	
Diabetes mellitus type 1	TIMP3	1.0	
Diabetes mellitus type 2	AKR1B1	1.0	
Diabetes mellitus type 2	TIMP3	1.0	
Diabetic Angiopathies	AKR1B1	1.0	
Diabetic Angiopathies	TIMP3	1.0	
Diabetic Nephropathies	AKR1B1	1.0	
Diabetic Nephropathies	TIMP3	1.0	
Diabetic Retinopathy	AKR1B1	1.0	
Diabetic Retinopathy	TIMP3	1.0	
Endometriosis	AKR1B1	1.0	
Endometriosis	TIMP3	1.0	
Glioma	AKR1B1	1.0	
Glioma	TIMP3	1.0	
Heart Failure	AKR1B1	1.0	
Heart Failure	TIMP3	1.0	
Congestive heart failure	AKR1B1	1.0	
Congestive heart failure	TIMP3	1.0	
Hypertension	AKR1B1	1.0	
Hypertension	TIMP3	1.0	
Kidney Diseases	AKR1B1	1.0	
Kidney Diseases	TIMP3	1.0	
{Gastric cancer risk after H. pylori infection}, 137215 (3)	AKR1B1	1.0	
{Gastric cancer risk after H. pylori infection}, 137215 (3)	TIMP3	1.0	
Secondary hypertriglyceridemia	AKR1B1	1.0	
Secondary hypertriglyceridemia	TIMP3	1.0	
Obesity	AKR1B1	1.0	
Obesity	TIMP3	1.0	
Retinopathy	AKR1B1	1.0	
Retinopathy	TIMP3	1.0	
Stroke	AKR1B1	1.0	
Stroke	TIMP3	1.0	
Synovial Cyst	AKR1B1	1.0	
Synovial Cyst	TIMP3	1.0	
Tumor Progression	AKR1B1	1.0	
Tumor Progression	TIMP3	1.0	
Carcinoma of cervix	AKR1B1	1.0	
Carcinoma of cervix	TIMP3	1.0	
Endometrial carcinoma	AKR1B1	1.0	
Endometrial carcinoma	TIMP3	1.0	
Carcinogenesis	AKR1B1	1.0	
Carcinogenesis	TIMP3	1.0	
Ovarian epithelial cancer	AKR1B1	1.0	
Ovarian epithelial cancer	TIMP3	1.0	
Breast carcinoma	AKR1B1	1.0	
Breast carcinoma	TIMP3	1.0	
Lung cancer	AKR1B1	1.0	
Lung cancer	TIMP3	1.0	
Carcinoma of colon	AKR1B1	1.0	
Carcinoma of colon	TIMP3	1.0	
